Chapter,Question,Question: description,Individual Indicator Score,Source Legislation,Impact,Timeframe for Indicator,References,"References, 2","References, 3","References, 4",Overall Pillar Score
10,10.3,Local content requirements ,0,"Regulation of Imports and Exports Act (Chapter 272A, Section 3) 
Regulation of Imports and Exports Regulations",Singapore does not apply local content requirements ,Since December 1995 last amended in2024,https://sso.agc.gov.sg/SL/RIEA1995-RG1,,, ,
10,10.4,Export restrictions on ICTgoods and online services,0,"Regulation of Imports and Exports Act (Chapter 272A, Section 3) 
Regulation of Imports and Exports Regulations;

Strategic Goods Control Act 2002;

Strategic Goods Control Order 2024","Controlled goods require proper authorisation (advance notification, licence or certificate approval) from Competent Authorities (CA) before they may be exported from Singapore. The list of military and dual-use goods subject to export controls is found in the Strategic Goods Control Order, which is aligned with multilateral export control regimes. Singapore does not implement export restrictions on ICT goods and services. ","Since December 1995 last amended in 2024;

Since January 2003, last amended in December 2021

Since October 2024","https://sso.agc.gov.sg/SL/RIEA1995-RG1;

https://www.customs.gov.sg/businesses/exporting-goods/controlled-and-prohibited-goods-for-export",https://sso.agc.gov.sg/Act/SGCA2002,https://sso.agc.gov.sg/SL/SGCA2002-S641-2024?DocDate=20240801, ,
11,11.1,Lack of transparent technical standards,0,Enterprise Singapore Board Act 2018,"Enterprise Singapore oversees the development of standards through the Singapore Standards Council (SSC). The SSC facilitates the development, promotion and review of Singapore Standards, Technical References and Workshop Agreements in Singapore. International standards, such as ISO and IEC, have been recognized. Leading companies, industry players and relevant government agencies can contribute to the development of the new and revised Singapore Standards, as well as the review, amendment and withdrawal of existing Singapore Standards (Section 6). The Act does not restrict consultations to local entities. Foreign-owned organisations based in Singapore can participate in the standards-setting process.",Since April 2018 amended in 2020,"https://sso.agc.gov.sg/Act/ESBA2018;

https://www.enterprisesg.gov.sg/about-us/overview;

https://www.enterprisesg.gov.sg/grow-your-business/boost-capabilities/quality-and-standards/singapore-standards-council;

https://www.enterprisesg.gov.sg/-/media/esg/files/quality-and-standards/standards/singapore_standards_work_programme.pdf?la=en",,,,0.250
11,11.2,"Self-certification limitations for product safety (radio transmissions, EMC/EMI)",0.5,"ASEAN MRA for Electronical and Electronic Equipment 2012;

APEC MRA for Conformity Assessment of Telecommunications Equipment;

APEC Electronical and Electronic Equipment Mutual Recognition Arrangement","The Singapore Accreditation Council (SAC) works closely with other international bodies on Mutual Recognition Arrangements (MRAs) which will allow signatories to mutually recognise reports and certificates issued by an accredited Conformity Assessment Body (CAB) as equivalent to their own standards. Moreover, Infocomm Media Development Authority (IMDA) accepts equipment certification by local or foreign certification bodies recognised by IMDA under a phase II mutual recognition arrangement.

Moreover, Singapore are parnter of the following MRAs: ASEAN MRA for Electronical and Electronic Equipment (ASEAN EE MRA), APEC MRA for Conformity Assessment of Telecommunications Equipment (APEC TEL MRA), and APEC Electronical and Electronic Equipment Mutual Recognition Arrangement (APEC EEMRA) (Part III Acceptance of certification). 

SDoC is only permitted in domestic businesses in Singapore. Equipment registration is based on the submission of the Supplier's Declaration of Conformity (SDoC). Enhanced Simplified Equipment Registration (ESER), Simplified Equipment Registration (SER), and General Equipment Registration (GER)—all of them require that the applicant be a local entity, specifically a local dealer registered with the Infocomm Media Development Authority (IMDA).","Since July 2012;

Since 29 September 2023;

Since October 2010;

Since 2002",https://asean.org/asean-sectoral-mutual-recognition-arrangement-for-electrical-and-electronic-equipment/,https://www.apec.org/groups/som-steering-committee-on-economic-and-technical-cooperation/working-groups/telecommunications-and-information/apec_tel-mra,https://www.apec.org/groups/committee-on-trade-and-investment/sub-committee-on-standards-and-conformance/apec_eemra ,,
11,11.3,Product screening and testing requirements,0.5,Infocomm Media Development Authority (IMDA) Guide for Registration of Telecommunication Equipment,"Singapore's Infocomm Development Authority accepts equipment registration for many types of telecommunications and radio equipment for general sale and use in Singapore to be registered with IMDA. The purpose of equipment registration is to ensure that the telecommunication/radio-communication equipment is compatible with the public telecommunication network and does not cause radio frequency interference to other authoriszed radio-communication network/station, though registration is voluntary for some categories of equipment.  The company filing the registration must be a local company with a valid IMDA dealer's license. Registrations are typically based on foreign standard test reports/certifications to declare conformity to IMDA's technical standards. 

The IMDA accepts test reports, which present test results of equipment testing done according to IMDA’s Technical Specifications by (i) testing labs recognised by IMDA under MRA Phase I; (ii) testing labs accredited by accreditation bodies recognised by IMDA; or (iii) equipment manufacturers. IMDA also accepts equipment certification by local or foreign certification bodies recognised by IMDA under MRA Phase II. The Act on the Implementation of Mutual Recognition with Foreign Countries of the Results of Conformity Assessment Procedures for Specified Equipment (Chapter II, Articles 3-13) allows Singapore to recognise conformity assessment results from foreign laboratories under Mutual Recognition Agreements (MRAs). ",Since September 2016,"https://www.imda.gov.sg/regulations-and-licensing-listing/dealer-and-equipment-registration-framework/equipment-registration-framework;

https://www.imda.gov.sg/-/media/imda/files/regulations-and-licensing/regulations/frameworks-and-policies/dealer-and-equipment-registration/equipment-registration-framework/eqrguide.pdf",, , ,
 ,11.3,,0.5,Technical Specification for Security Requirements for Private Automatic Branch Exchanges (IMDA TS PABX),"IMDA has published the finalised Technical Specification for Security Requirements for Private Automatic Branch Exchange (IMDA TS PABX-SEC) on 28 August 2024. The IMDA TS PABX-SEC specifies the minimum security requirements for PABXs sold in Singapore, ensuring that these systems are better protected when purchased and deployed by enterprises, thus safeguarding both the telecommunication service providers’ networks and enterprises’ PABX from security threats from the Internet.",Since 28 August 2024,"https://www.imda.gov.sg/-/media/imda/files/regulation-licensing-and-consultations/ict-standards/telecommunication-standards/line/imda-ts-pabx-sec.pdf;

https://www.imda.gov.sg/regulations-and-licensing-listing/dealer-and-equipment-registration-framework/equipment-registration-framework",, , ,
11,11.4,"Deviation from international encryption standards (ISO, IEC, ITU, FIPS, AES, TDES, and ECC)",0,"Reference Specification, Quantum Key Distribution Networks

Multi-Tier Cloud Security (MTCS) Certification Scheme ","Singapore has established various standards, and also align them with the international recognized encryption standards.

For instance, encryption methods, such as Advanced Encryption Standard (AES) has been adopted in quantum technologies. Moreover, Multi-Tier Cloud Security (MTCS), also known as Singapore Standard 584, is the world's first cloud security standard that covers multiple tiers. Prepared by the Information Technology Standards Committee (ITSC), MTCS defines how cloud service providers (CSPs) have to protect customer data and address their concerns about the confidentiality of the data in the cloud. With a total of 535 controls, it aims to provide transparency and visibility into how the CSPs handle data.","Since April 2023;

Last reviewed in September 2024",https://www.imda.gov.sg/-/media/imda/files/regulation-licensing-and-consultations/ict-standards/telecommunication-standards/imda-technical/1c-draft-imda-rs-qkdn--issue-1--public-comment.pdf,"https://www.imda.gov.sg/regulations-and-licensing-listing/ict-standards-and-quality-of-service/it-standards-and-frameworks/cloud-computing-and-services;

https://www.developer.tech.gov.sg/guidelines/standards-and-best-practices/overview.html",, ,
12,12.01,Foreign equity limits in e-commerce sector,0,Companies Act 1967 ,"Under the Companies Act 1967, there is no foreign equity share limit. There is no foreign ownership in e-commerce sectors. Foreign entity is not prohibited from setting up a company in Singapore. ",Since December 1967 last amended in 2021 ,https://sso.agc.gov.sg/Act/CoA1967, ,, ,7.4999999999999997E-2
12,12.2,"Online purchases and delivery limitations
Exception: Not score limitations on online purchases and delivery applied specifically to products related to consumer protection, notably restrictions on alcoholic beverages, tobacco, and pharmaceuticals.",0,Electronic Transactions Act 2010,Singapore does not implement any restrictions on e-commerce purchases and delivery. ,Since July 2010 last amended in December 2021,https://sso.agc.gov.sg/Act/ETA2010,,, ,
12,12.3,"Licensing scheme for e-commerce providers (B2B and B2C)
Exception: Licenses pertiaining to other aspects of e-commerce businesses, such as license to operate online payment services and delivery are not captured. ",0,Broadcasting (Class Licence) Notification 2004,"Internet Service/content providers, including e-commerce providers, based in Singapore are automatically class-licensed under the Broadcasting Act. According to Section 3, Internet service providers and some categories of content providers are required to register with the regulator (the IMDA) within 14 days of providing the service.",Since 2004,"https://sso.agc.gov.sg/SL/BA1994-N1?DocDate=20161227;

https://www.imda.gov.sg/regulations-and-licensing-listing/content-standards-and-classification/standards-and-classification/internet",, , ,
12,12.3,"Licensing scheme for e-commerce providers (B2B and B2C)
Exception: Licenses pertiaining to other aspects of e-commerce businesses, such as license to operate online payment services and delivery are not captured. ",0,Business Names Registration Act 2014,"Under this Act, any person or entity conducting business in Singapore must register their business with the Accounting and Corporate Regulatory Authority (ACRA) unless exempted. This requirement applies to both online and offline businesses.",Since 3 January 2016 last amended 26 in February 2024,https://sso.agc.gov.sg//Act/BNRA2014,, , ,
12,12.4,"Restrictions on online payment 
",0,Payment Services Act 2019 ,Singaapore does not mandate local bank account for online paymeny. ,Since 2019 last amended in July 2021,https://sso.agc.gov.sg/Act/PSA2019,,, ,
12,12.4,"Restrictions on online payment 
",0,Payment Services Act 2019 ,"Section 2 of Payment Services Act 2019 defines ""e-money"" and ""digital payment tokens"" without specifying a mandated currency. This allows businesses in Singapore the flexibility to transact in SGD or other currencies, especially for international services, as long as they comply with the requirements outlined in the PSA, such as anti-money laundering (AML) and counter-terrorism financing (CFT) obligations.",Since 2019 last amended in July 2021,https://sso.agc.gov.sg//Act/PSA2019,,, ,
12,12.4,"Restrictions on online payment 
",0,Singapore Quick Response Code (SGQR),"SGQR consolidates multiple payment QR codes into a single, unified code, simplifying e-payments for both consumers and merchants. This initiative, co-owned by the Monetary Authority of Singapore (MAS) and the Infocomm Media Development Authority (IMDA), aims to promote interoperability among various payment schemes. This system is based on the widely used EMVCo QR code standard, and aligns with international standard.",Since 2018,https://www.mas.gov.sg/development/e-payments/sgqr,,, ,
12,12.4,"Restrictions on online payment 
",0,Technical Reference 76 (TR 76),"Technical Reference (TR) 76 is a voluntary guidance standard developed by industry players, CASE, and government agencies to help new and existing e-commerce marketplaces and e-retailers build or improve on e-commerce processes and policies. It covers the end-to-end process of e-commerce transactions, from pre-purchase activities, to purchasing and payment procedures (including escrow payments), and to post-purchase activities. The guidelines also cover best practices on customer support and merchant verification. In 2022, it was revised to incorporate additional anti-scam measures, further strengthening protection for consumers transacting online.",Since 2020,https://www.mha.gov.sg/mediaroom/press-releases/introduction-of-e-commerce-marketplace-transaction-safety-ratings-and-revised-technical-reference-76-on-e-commerce-transactions/,,, ,
12,12.4,"Restrictions on online payment 
",1,Payment Services Act 2019,"Section 6(9)(a) of the PS Act states that the applicant has to be either a company; or a corporation formed or incorporated outside Singapore, where company refers to a company incorporated under the Companies Act 1967 in Singapore.
Section 6(9)(c) of the PS Act requires either of the two requirement to be fulfilled:
Executive director to be a citizen or permanent resident of Singapore
At least one director to be a citizen or permanent resident of Singapore, if the executive director is a Singapore Employment Pass holder, as prescribed in section 7 of PS Regulations.",Since 2019 last amended July 2021,https://sso.agc.gov.sg//Act/PSA2019,,, ,
12,12.4,"Restrictions on online payment 
",1,Payment Services Act 2019,"According to section 24 of Payment Services Act 2019, amount that can be stored in personal payment account containing e-money: SGD $20,000 (or equivalent in foreign currency). Total amount transferred in any period of one-year from a personal payment account containing e-money: SGD $100,000 (or equivalent in foreign currency)",Since 2019 last amended July 2021,https://sso.agc.gov.sg//Act/PSA2019,https://www.mas.gov.sg/publications/consultations/2022/consultation-on-e-wallet-caps,, ,
12,12.4,"Restrictions on online payment 
",0,Payment Services Act 2019,Singapore does not mandate the use of specific intermediaries for online transactions.,Since 2019 last amended July 2021,https://sso.agc.gov.sg//Act/PSA2019,,, ,
12,12.4,"Restrictions on online payment 
",0,Payment Services Act 2019,"Licensed payment service provider cannot use customer money, or interest earned from customer money, to finance their business wholly or to any material extent. (Section 20). On section 18, licensee cannot use an agent to provide payment services, unless the agent has a licence or is an exempt payment service provider in respect of that type of payment service. Please refer to section 13 of the Payment Services Act for more information on exempt payment service providers.",Since 2019 last amended July 2021,https://sso.agc.gov.sg//Act/PSA2019,,, ,
12,12.5,Low De Minimis,0,"Goods and Services Tax Act 1993;

Inland Revenue Authority of Singpore GST on imported Low-Value Goods","According to Singapore's de minimis rule, goods with a value of up to 400 SGD (approximately 208 SDR and 298 USD) are exempted from taxes and duties collected by customs. The deminimis threshold is applied to goods services tax on goods imported by post or air, excluding intoxicating liquors and tobacco. 

GST relief is granted on goods imported by post or air, excluding intoxicating liquors and tobacco, with a total Cost, Insurance and Freight (CIF) value not exceeding 400 SGD.
Since January 2023, GST has been extended to goods imported via air or post that are valued up to and including the current GST import relief threshold of S$400, through the Overseas Vendor Registration regime. The change ensures a level playing field for local businesses to compete effectively. The change also ensures that our GST system remains fair and resilient as the digital economy grows. ","Since 1993 last amended in September 2022;


Since January 1, 2023","https://sso.agc.gov.sg/Act/GSTA1993;

https://www.iras.gov.sg/taxes/goods-services-tax-(gst)/consumers/gst-on-imported-low-value-goods;

https://www.customs.gov.sg/businesses/importing-goods/import-procedures/importing-by-post-or-courier-service/",https://www.iras.gov.sg/taxes/goods-services-tax-(gst)/consumers/gst-on-imported-low-value-goods,, ,
12,12.6,Domain name requirements,0.5,Trade Marks Act 1998,"For a top-level "".sg"" domain, a foreign registrant may register a domain name if it appoints a local agent having a valid Singaporean postal address as the Administrative Contact. 

For a ""com.sg"" domain, the company must be registered in Singapore. A foreign registrant may apply for a .com.sg domain name provided that it appoints a locally registered entity as its Administrative Contact.

The rules are pursuant to the Trade Marks Act (chapter 332)",Since January 1999 last amended in 2021,"https://sso.agc.gov.sg/Act/TMA1998;

https://www.sgnic.sg/domain-registration/sg-categories-rules;

https://www.sgnic.sg/faq/domain-registration",,, ,
12,12.7,Local presence requirements for online service providers,0,Companies Act 1967 ,"Under section 368, every foreign company must establish a place of business in Singapore before carry on business in the country. A foreign company shall have a registered office in Singapore to which all communications and notices may be addressed and which shall be open and accessible to the public for not less than 5 hours between 9 a.m. and  5 p.m. each business day (Section 370). 

However, a registered office is not considered as local presence.",Since December 1967 last amended in 2021;,https://sso.agc.gov.sg/Act/CoA1967#pr4-, , , ,
12,12.8,Lack of legal framework for online consumer protection,0,Consumer Protection (Fair Trading) Act 2003,"Singapore does not have specific consumer protection laws for e-commerce. However, a number of consumer laws which are in place (including the Consumer Protection (Fair Trading) Act 2003), which are generally applicable to all transactions including electronic transactions. ","Since March 2004, as amended in December 2016",https://sso.agc.gov.sg/Act/CPFTA2003,, ,,
12,12.8,Lack of legal framework for online consumer protection,0,"E-commerce Marketplace Transaction Safety Ratings (TSR);

Revised Technical Reference 76 on Guidelines for Electronic Commerce Transactions (TR 76)",The Inter-Ministry Committee on Scams (IMCS) published the E-commerce Marketplace Transaction Safety Ratings (TSR) to provide consumers with information on the anti-scam measures implemented by major e-commerce marketplaces to combat e-commerce scams. The rating assigned to each major e-commerce marketplace is updated annually based on the latest anti-scam features put in place to secure e-commerce transactions.,"Since 2022;

Since 2020",https://www.mha.gov.sg/e-commerce-marketplace-transaction-safety-ratings,https://www.mha.gov.sg/mediaroom/press-releases/introduction-of-e-commerce-marketplace-transaction-safety-ratings-and-revised-technical-reference-76-on-e-commerce-transactions/,,,
12,12.9,Not in the United Nations Convention of Electronic Communications,0,Signature of the UN Convention on Electronic Communications,"Singapore signed the United Nations Convention on the Use of Electronic Communications in International Contracts in 2006 (signed in 2006 and entered into force in 2013). Upon ratification, Singapore declared: The Convention shall not apply to electronic communications relating to any contract for the sale or other disposition of immovable property, or any interest in such property. The Convention shall also not apply in respect of (i) the creation or execution of a will; or (ii) the creation, performance or enforcement of an indenture, declaration of trust or power of attorney, that may be contracted for in any contract governed by the Convention.",Since 2013,https://uncitral.un.org/en/texts/ecommerce/conventions/electronic_communications/status, , , ,
12,12.10,Not in the UNCITRAL Model Law on Electronic Commerce,0,UNCITRAL Model Law on Electronic Commerce,Singapore adopted the UNCITRAL Model Law on Electronic Commerce in 2010. The legislation also includes substantive provisions of the United Nations Convention on the Use of Electronic Communications in International Contracts.,Since 2010,https://uncitral.un.org/en/texts/ecommerce/modellaw/electronic_commerce/status, , , ,
12,12.11,Not in the UNCITRAL Model Law on Electronic Signatures,0.5,UNCITRAL Model Law on Electronic Signatures,Singapore has not notified its adoption of the UNCITRAL Model Law on Electronic Signatures to the UNCITRAL Secretariat.,Last reviewed in September 2024,https://uncitral.un.org/en/texts/ecommerce/modellaw/electronic_signatures/status, , , ,
,,,,,,,,,,Overall RDTII score,0.281
