Chapter,Question,Question: description,Individual Indicator Score,Source Legislation,Impact,Timeframe for Indicator,References,"References, 2","References, 3","References, 4",Overall Pillar Score
4,4.4,Lack of copyright framework and exceptions,0,Copyright Act 1968,"Currently, the Copyright Act provides for listed fair dealing exceptions. These are 1) research or study, 2) criticism or review, 3) parody or satire, 4) reporting news, 5) enabling a person with a disability to access the material, and 6) professional advice by a lawyer, patent attorney or trademark attorney (Division 3).","Since June 1968, last amended in October 2024",https://www.legislation.gov.au/C1968A00063,,,,
4,4.5,Online copyright enforcement issues: civil and administrative procedures and remedies; and provisional measures,0,Copyright Act 1968 ,"Under the Copyright Act 1968, copyright protection and enforcement in Australia. Civil remedies for copyright infringement, such as injunctions, damages, and account of profits, are outlined in Section 116A. Criminal offences (Division 5) relate to copyright infringement, including importing, possessing, selling, distributing, or commercially dealing with infringing copies.","Since June 1968, last amended in October 2024",https://www.legislation.gov.au/C1968A00063,,,,
4,4.6,Not in the WIPO Copyright Treaty (WCT),0,Signature of the WIPO Copyright Treaty,Australia has acceded the WIPO Copyright Treaty since 2007.,"Since April 2007, in force since July 2007",https://wipolex.wipo.int/en/treaties/ShowResults?search_what=C&treaty_id=16,,,,
4,4.7,Not in the WIPO Performances and Phonographs Treaty (WPPT),0,Signature of the WIPO Performances and Phonograms Treaty,Australia has acceded the WIPO Performances and Phonograms Treaty since 2007.,"Since April 2007, in force since July 2007",https://wipolex.wipo.int/en/treaties/ShowResults?search_what=C&treaty_id=20,,,,
4,4.8,"Mandatory disclosure of trade secrets, such as source code and algorithms",0,"Corporations Act 2001;

Privacy Act 1988","No mandatory disclosure of trade secrets measures are found. 

","Since June 2001, last amended in October 2024;

Since December 1988, last amended in 2023 October 2024",https://www.legislation.gov.au/C2004A00818,https://www.legislation.gov.au/C2004A03712,,,
4,4.9,Lack of effective trade secrets legal framework,0.5,"Corporations Act 2001;

Freedom of Information Act 1982;

Competition and Consumer Act 2010 ","Under Australian law, a 'trade secret' is considered to be merely a form of confidential information and does not have a clear or rigid meaning.

While Australia does not have a specific statutory regime for protecting trade secrets, there are various Acts which protect against the disclosure of confidential information through imposing an obligation of confidence. 

The Corporations Act 2001 provides that a person who obtains information because they are, or have been, a director or other officer or employee of a corporation must not improperly use the information.

Similarly, the Competition and Consumer Act 2010 states that a bargain between two parties never requires disclosure of a trade secret. 
In addition to claims for breach of contractual and statutory obligations of confidence, a common method of enforcing trade secrets that have been unlawfully disclosed is through the bringing of an equitable action for breach of confidence.

In addition, Australia complies with its obligations under article 39 of the 1995 Trade-Related Aspects of Intellectual Property Rights Agreement (TRIPS) by giving trade secrets legal protection through the equitable doctrine of ""breach of confidence"" and, where an appropriate clause exists, breach of contract.","Since June 2001, last amended in October 2024;

Since March 1982, last amended in October 2024;

Since August 2010, last amended in October 2024 ",https://www.legislation.gov.au/C2004A00818,https://www.legislation.gov.au/C2004A00109,https://www.legislation.gov.au/C2004A02562,,
5,5.1,Absence of passive infrastructure sharing,0.5,Telecommunications Act 1997 ,"Telecommunications carriers have statutory rights of access to other carriers' towers and ducts, but such access is not mandated. Passive infrastructure sharing is practiced in Australia in the mobile sector: co-location is negotiated on a commercial basis. Carriers have regulated rights of access to towers owned by other carriers for the purposes of providing carriage services. The Telecommunications Act 1997 provides for carriers to provide other carriers with access to telecommunications transmission towers, the sites of telecommunications transmission towers and eligible underground facilities. The Australian Competition and Consumer Commission has made a code which sets out conditions that are to be complied with in relation to the provision of access.

Passive infrastructure sharing is also practiced in Australia in the fixed sector: the Australian Competition and Consumer Commission has declared the following services: - line sharing service (LSS) - local carriage service (LCS) - fixed originating access service (FOAS) - fixed terminating access service (FTAS) - unconditioned local loop service (ULLS) - wholesale line rental (WLR) - wholesale ADSL service (WADSL) Once a service is declared, a network owner must provide access to the service upon request.","Since April 1997, last amended in October 2024",https://www.legislation.gov.au/C2004A05145,"https://www.accc.gov.au/regulated-infrastructure/communications/fixed-line-services/fixed-line-services-fad-inquiry-2018
",https://www.accc.gov.au/media-release/accc-to-continue-telstras-fixed-line-services-regulation,,0.456
5,5.2,Foreign equity limits in telecom sector,0.8,"Telecommunications Act 1997; 

Telstra Corporation Act 1991 
","The Telecommunications Act 1997 provides that ""[a] condition of a carrier license may relate to the extent of foreign ownership or control (whether direct or indirect) of the holder"" (Section 65). This restriction has been in place since its enactment in 1997. The Telstra Corporations Act 1991 provides under Section 8BG aggregate foreign ownership of Telstra (the incumbent telecommunication company) is limited to 35% and individual foreign investors are only allowed to own up to 5%. This specific cap was imposed in 1999 as part of an amendment of the Act. 

Note that Telstra Corporation was once a government-owned telecommunications provider. The Telstra Corporations Act established to manage the transition to a privatized company. 
","Since April 1997, last amended in October 2024; 

Since June 1999, last amended in October 2024
",https://www.legislation.gov.au/C2004A05145,https://www.legislation.gov.au/C2004A04154,,,
5,5.3,Shares owned by the Government in telecom companies,1,"National Broadband Network Companies Act 2011 
","NBN Co. is a wholly government-owned enterprise tasked with designing, building, deploying, and operating a high-speed (internet) access network across Australia.

According to the National Broadband Network Companies Act 2011 (Subdivision A, Division 2, Part 3), the Commonwealth must retain full ownership of National Broadband Network Co (NBN Co). In addition, this ownership structure could be terminated only in limited circumstances (Subdivision B).","Since March 2011, last amended in October 2023

",https://www.legislation.gov.au/C2011A00022,"https://www.directory.gov.au/portfolios/infrastructure-transport-regional-development-and-communications/nbn-co-limited/nbn-co-limited-board#:~:text=NBN%20Co%20Limited%20(NBN%20Co,and%20the%20Minister%20of%20Finance.",,,
5,5.4,Lack of functional/accounting separation,0,"Telecommunications Act 1997;

Carrier Licence Conditions (Networks supplying Superfast Carriage Services to Residential Customers) Declaration 2014",Functional separation is mandated for operators with significant market power under the Telecommunications Act 1997 (Part 8) and the Carrier Licence Conditions Declaration. Accounting separation is mandated only in some cases: NBN Co is required to maintain separate accounts for its different technology units.,"Since April 1997, last amended in October 2024; 

Since December 2014, last amended in February 2023",https://www.legislation.gov.au/C2004A05145,https://www.legislation.gov.au/F2014L01699,Official text concerning accounting separation for NBN Co: https://www.accc.gov.au/system/files/Draft%20decision%20-%20NBN%20Co%20SAU%20variation%20-%202%20May%202023.pdf,https://www.accc.gov.au/by-industry/telecommunications-and-internet/superfast-fixed-line-broadband-networks-regulation/industry-guidance-on-the-carrier-separation-rules,
5,5.5,Licensing requirements in telecom sector for operators,0,"Telecommunications Act 1997;

Telecommunications Regulations 2021","Telecommunications licence: Except in limited circumstances, the owner of a network unit (cable, wireless, or satellite) used to supply carriage services to the public must hold a Carrier Licence. To eligible for this licence, the company must be a constitutional corporation, eligible partnership or public body. But no discriminatory terms are found. 

Content Service Providers: There is no licence required, however the company will need to comply with the content rules determined by ACMA.","Since April 1997, last amended in October 2024; 

Since March 2021, last amended in October 2024",https://www.legislation.gov.au/C2004A05145,https://www.legislation.gov.au/F2021L00289/,http://classic.austlii.edu.au/au/legis/cth/num_reg/tr2021202100289339/,,
5,5.5,Licensing requirements in telecom sector for operators,0,"Telecommunications Act 1997; 

Telecommunications (Consumer Protection and Service Standards) Act 1999; 

Telecommunications (Emergency Call Service) Determination 2019","Voice over Internet Protocol (VoIP) providers do not need to have any particular licenses to operate, but they are regulated by the Australian Communications Media Authority under the Telecommunications Act 1997 and Telecommunications (Consumer Protection and Service Standards) Act 1999. 

VoIP providers are classified as content service providers. Thus, under the Telecommunications (Emergency Call Service) Determination 2019, they are obliged to provide access to emergency services if they provide a Standard Telephone Service (STS). For example, in providing emergency services, they must provide the correct calling line identification and three digit 'ABC' codes to identify caller location. ","Since April 1997, last amended in October 2024;

Since July 1999, last amended in June 2024;

Since November 2019, last amended in October 2024",https://www.legislation.gov.au/C2004A05145,https://www.legislation.gov.au/C2004A00441,https://www.legislation.gov.au/F2019L01509,,
5,5.6,Not in the WTO Telecom Reference Paper,0,WTO Telecom Reference Paper,Australia has attached the WTO Telecom Reference Paper to its schedule of commitments,Since 1994,https://www.wto.org/english/tratop_e/serv_e/telecom_e/sc6.pdf,https://www.wto.org/english/tratop_e/serv_e/telecom_e/telecom_commit_exempt_list_e.htm,https://www.wto.org/english/tratop_e/serv_e/telecom_e/telecom_highlights_commit_exempt_e.htm#country,,
5,5.7,Lack of independent telecom authority,0,Australian Communications and Media Authority Act 2005 ,"Act No. 44 establishes that Australia has an independent telecommunications authority, the Australian Communications and Media Authority (ACMA). Yet, Division 4 of the Act establishes that ""the Minister may give written directions to the ACMA in relation to the performance of its functions and the exercise of its powers. However, such a direction can only be of a general nature if it relates to the ACMA’s broadcasting, content and datacasting functions; or the ACMA’s powers relating to those functions"".","Since April 2005, last amended in July 2024 ",https://www.legislation.gov.au/Details/C2005A00044,,,,
6,6.1,"Ban and local processing requirements
Exception: Not score data localization measure applied to government data.",0.5,My Health Records Act 2012,"The My Health Records Act 2012 (Section 77) mandates that such government medical records must not be held or processed outside national borders, ensuring data security and sovereignty. Exceptions apply only if the records do not include personal or identifying information related to healthcare recipients or participants in the system.","Since June 2012, last amended in October 2024
",https://www.legislation.gov.au/C2012A00063,https://www.ag.gov.au/rights-and-protections/consultations/apec-cross-border-privacy-rules-australias-participation,,,0.365
6,6.2,"Local storage requirements
Exception: Not score data localization measure applied to government data.",0.5,My Health Records Act 2012,"The My Health Records Act 2012 (Section 77) mandates that such government medical records must be stored and processed within Australia, ensuring data security and sovereignty. Exceptions apply only if the records do not include personal or identifying information related to healthcare recipients or participants in the system.","Since June 2012, last amended in October 2024

",https://www.legislation.gov.au/C2012A00063,https://www.ag.gov.au/rights-and-protections/consultations/apec-cross-border-privacy-rules-australias-participation,,,
6,6.3,"Infrastructure requirements
Exception: Not score data localization measure applied to government data.",0,"Privacy Act 1988 
",No infrastructure requirements were found.,"Since December 1988, last amended in October 2024",https://www.legislation.gov.au/C2004A03712,,,,
6,6.4,"Conditional flow regimes
Exception: Not score data localization measure applied to government data.",1,"Privacy Act 1988 
","Under Australian Privacy Principle 8 (APP 8) of the Privacy Act 1988, cross-border disclosure of personal information is allowed in certain conditions, including when the recipient country has similar privacy protections to Australia, when the individual gives consent, or when required by law. Different rules apply for government data, including restrictions to stay within Australia.","Since December 1988, last amended in October 2024","https://www.legislation.gov.au/C2004A03712


",,,,
6,6.5,Not in an agreement with binding commitments on data transfer.,0,"Singapore-Australia Free Trade Agreement;

Australia-Peru Free Trade Agreement;

Comprehensive and Progressive Agreement for Trans-Pacific Partnership; 

Indonesia - Australia Comprehensive Economic Partnership Agreement; 

Australia-Hong Kong Free Trade Agreement and associated Investment Agreement; 

Australia-United Kingdom Free Trade Agreement; 

Australia-United States CLOUD Act Agreement; 

Australia-Singapore Digital Economy Agreement;

APEC Cross-Border Privacy Rules (CBPR)","Australia has joined agreements with binding commitments to open transfers of data across borders: the Singapore-Australia Free Trade Agreement (SAFTA, Chapter 14, Art. 13), the Australia-Peru Free Trade Agreement (Art. 13.11), the Comprehensive and Progressive Agreement for Trans-Pacific Partnership (CPTPP, Art. 14.11), the Indonesia - Australia Comprehensive Economic Partnership Agreement (Art. 13.11), the Australia-Hong Kong Free Trade Agreement and associated Investment Agreement [Article 11.7(2) and 11.15(1)], and the Australia-United Kingdom Free Trade Agreement [14.10(2)]; The CLOUD Act Agreement between Australia and the United States; the Australia-Singapore Digital Economy Agreement (DEA); Trans-Pacific Partnership Agreement [Article 14.11].


Australia participates in the APEC Cross-Border Privacy Rules (CBPR) System, which facilitates the free movement of personal data across borders among participating APEC economies while ensuring strong privacy protections.","In force since 2017;

In force since 2020;

In force since 2018;

In force since 2020;

In force since 2020;

In force since 2023;

In force since 2021;

In force since 2020;

Since July 2017","https://www.dfat.gov.au/trade/agreements/in-force/safta/singapore-australia-fta;

https://www.dfat.gov.au/trade/agreements/in-force/pafta/Pages/peru-australia-fta;

https://www.dfat.gov.au/trade/agreements/in-force/cptpp/comprehensive-and-progressive-agreement-for-trans-pacific-partnership;

https://www.dfat.gov.au/trade/agreements/in-force/iacepa/indonesia-australia-comprehensive-economic-partnership-agreement;

https://www.dfat.gov.au/trade/agreements/in-force/a-hkfta/Pages/default;
https://www.dfat.gov.au/trade/agreements/in-force/aukfta;

https://www.homeaffairs.gov.au/about-us/our-portfolios/national-security/lawful-access-telecommunications/australia-united-states-cloud-act-agreement;

https://www.dfat.gov.au/trade/services-and-digital-trade/australia-and-singapore-digital-economy-agreement;

https://www.ag.gov.au/rights-and-protections/consultations/apec-cross-border-privacy-rules-australias-participation",,,,
7,7.1,Lack of comprehensive legal framework for data protection,0,"Privacy Act 1988 
","The Privacy Act 1988 is the primary federal legislation that governs protection of personal information and applies horizontally. The Act includes thirteen Privacy Principles, which set out standards, rights and obligations for the handling, holding, use, accessing and correction of personal information (including sensitive information. The Privacy Act's amendment in 2018 introduced a mandatory notification scheme for entities in responding to data breaches. The Notifiable Data Breach Scheme (NDB scheme) introduced an obligation to notify individuals whose personal information is involved in a data breach that is likely to result in serious harm. The NDB scheme applies to all agencies and organisations with existing personal information security obligations under the Australian Privacy Act. The Privacy Act's amendment in 2023 increases the maximum penalties for serious or repeated privacy breaches and provides the Australian Information Commissioner with greater powers to resolve privacy breaches and quickly share information about data breaches.","Since December 1988, last amended in October 2024",https://www.legislation.gov.au/C2004A03712,https://www.oaic.gov.au/privacy/notifiable-data-breaches,,,0.469
7,7.2,"Minimum period of data retention requirements
Exception: Not score requirement applied to government data.",1,Telecommunications (Interception and Access) Act 1979,"The Telecommunications (Interception and Access) Act 1979 requires a telecommunication service provider to keep specific telecommunications data relating to the services it offers for two years (187C). The dataset to be kept includes: the subscriber and the accounts of telecommunications devices, the source of a communication, the destination of a communication, the date, time and duration of a communication, the type of a communication, and the location of equipment or a line used (187AA). This retention scheme was inserted into the Act by the Telecommunications (Interception and Access) Amendment (Data Retention) Act 2015.","Since October 1979, last amended in October 2024 ",https://www.legislation.gov.au/C2004A02124/latest/text,,,,
7,7.3,Data Protection Impact Assessment (DPIA) or Data Protection Officer (DPO) requirements,0,Privacy Impact Assessment 2020,"A Privacy Impact Assessment ('PIA') is contemplated by Australian privacy law but, apart from government agencies, is not mandated. However, arguably a PIA is, if not required, highly recommended to fulfil one's obligations under APP 1.2. The guidance and recommendations of the OAIC are that a PIA should be used for any new, changed/varied or altered process, method, or technology used that processes any personal information. In addition, the OAIC may, in writing, direct an agency to conduct a PIA, within a specified period if an agency proposes to engage in an activity or function involving the handling of personal information about individuals, and the OAIC considers that the activity or function might have a significant impact on the privacy of individual (Section 33D(1) of the Privacy Act).",Since 2020,https://www.oaic.gov.au/privacy/guidance-and-advice/privacy-management-framework-enabling-compliance-and-encouraging-good-practice/#step-1-embed-a-culture-of-privacy-that-enables-compliance,,,,
7,7.4,Requirements to allow government access to personal data,1,Data Availability and Transparency Act 2022 ,"On 1 April 2022, the Data Availability and Transparency Act 2022 commenced, creating a new scheme for sharing Commonwealth Government data. Under the Act, authorised Commonwealth bodies can provide controlled access to public sector data to accredited users, being accredited state and federal government entities and public Australian universities, for specific purposes in the public interest. Specifically, under Article 104, if the Commissioner reasonably believes that a person has information or a document relevant to an investigation under section 101, or to any other of the Commissioner’s regulatory functions set out in section 45, the Commissioner may, by written notice given to the person, require the person to give the information, or produce the document, to the Commissioner within the period specified in the notice.","Since March 2022, last amended October 2024",https://www.legislation.gov.au/C2022A00011/latest/text,https://www.datacommissioner.gov.au/law/dat-act,,,
7,7.4,Requirements to allow government access to personal data,1,"Telecommunications (Interception and Access) Act 1979; 

Telecommunications and Other Legislation Amendment (Assistance and Access) Act 2018; 

Telecommunications Legislation Amendment (International Production Orders) Act 2021;

Telecommunications Regulations 2021;

Telecommunications Act 1997","The Telecommunications (Interception and Access) Act 1979 allows law enforcement to intercept user communications, even without a warrant in emergencies or for capability testing. It details various warrants like interception (Section 10) and stored communications (Section 110). The Telecommunications and Other Legislation Amendment (Assistance and Access) Act 2018 provides industry assistance powers, ensuring cooperation with executing these warrants. However, Section 317ZH states these powers are void if they'd require a warrant under other mentioned acts. The Telecommunications Legislation Amendment (International Production Orders) Act 2020 permits the government to retrieve encrypted data from foreign companies. The Telecommunications Regulations 2021 enables cooperation between telecommunications providers, financial institutions and state agencies to reduce cyber risks, including via personal information sharing.

The Telecommunications Act 1997, as amended in 2018, provides for three types of requests or notices that the government and certain security and law enforcement agencies can issue to communications providers","Since October 1979, last amended in October 2024;

Since December 2018, last amended in September 2021;

Since July 2021;
Since March 2021, last amended in October 2024;

Since April 1997, last amended in October 2024","https://www.legislation.gov.au/C2004A02124/;

https://www.legislation.gov.au/Details/C2021C00496;

https://www.legislation.gov.au/Details/C2021A00078;

https://www.legislation.gov.au/Details/C2023C00106;

https://www.legislation.gov.au/F2021L00289;

https://www.legislation.gov.au/C2004A05145",,,,
7,7.4,Requirements to allow government access to personal data,1,"Australian Security Intelligence Organisation Act 1979; 

Surveillance Legislation Amendment (Identify and Disrupt) Act 2021;

Data Availability and Transparency Act 2022","The Australian Security Intelligence Act 1979 includes a computer access warrant (Section 25A) permitting the use of telecom facilities to access relevant data

The Surveillance Legislation Amendment (Identify and Disrupt) Act extends the nation's surveillance capabilities, to disrupt data (Section 6), takeover data (Schedule 3) and monitor network activity (Schedule 2).

The Data Availability and Transparency Bill allows governmental authorities to distribute personal data across its agencies.","Since October 1979, last amended in October 2024;

Since September 2021;

Since March 2022, last amended in October 2024;

","https://www.legislation.gov.au/C2004A02123;

https://www.legislation.gov.au/Details/C2021A00098;

https://www.legislation.gov.au/C2022A00011

",,,,
8,8.1,Lack of safe harbour for copyright infringements,0,"The Copyright Act 1968 No.54
Copyright Amendment (Service Providers) Bill 2017 ","The Copyright Act contains safe harbour protections (under Division 2AA) for service providers defined under section 116ABA, including a carriage service provider, an organisation assisting persons with a disability, the body administering a library/an archives/a key cultural institution/an educational institution. The Act also defines the certain conditions to be satisfied to take advantage of the limitations (Subdivision B, C, and D under Division 2AA). 

These provisions limit the remedies available against service providers for copyright infringements arising from certain online activities conducted by these providers (116AA). However, this Division does not affect the application of other provisions of the Act in determining whether copyright infringement has occurred.","Since June 1968, last amended in October 2024 ",https://www.legislation.gov.au/C1968A00063,https://www.ipaustralia.gov.au/ip-for-digital-business/grow/liability-of-hosting-platforms%E2%80%90safe-habour,,,0.625
8,8.2,Export restrictions on ICTgoods and online services,1,"Criminal Code Amendment (Sharing of Abhorrent Violent Material) Act 2019; 

Online Safety Act 2021; 

Online Safety (Basic Online Safety Expectations) Determination 2022","The Criminal Code Amendment (Sharing of Abhorrent Violent Material) Act 2019, which was enacted in the wake of the Christchurch attack on 2019, subjects Internet service providers and content providers to criminal penalties for the failure to report or remove ""abhorrent violent material"" that the providers have reasonable grounds to believe records or streams abhorrent violent conduct in Australia (Section 434.33-34).

The Online Safety Act 2021 has significant implications for online service providers because it makes them more accountable for the online safety of the people who use their service. The Act gives eSafety substantial new powers to protect all Australians across most online platforms and forums where people can experience harm. The Act also requires industry to develop new codes to regulate illegal and restricted content. This refers to the most seriously harmful material, such as videos showing sexual abuse of children or acts of terrorism, through to content that is inappropriate for children, such as high impact violence and nudity. If the harmful content or post is not removed within 24 hours, a fine of up to 500 penalty units will be applied — for individuals, up to $111,000 and for organisations up to $555,000.

The Basic Online Safety Expectations 2022 (BOSE) is a mechanism for the Commonwealth Government to “articulate its expectations of online services providers, on behalf of the community, to improve protections for users” and that “service providers are best placed to identify emerging forms of harmful end-user conduct or material, and choose the best way to address them on their service, in the most responsive way”. The BOSE establishes a higher standard for online service providers, designed to ensure that certain online service providers prioritise online safety by imposing on them minimum standards for pre-emptive and preventative action to minimise harm that can occur via their online services, such as cyber-bullying or exposure to illegal or restricted material.","Since April 2019;

Since July 2021, last amended in October 2024;

Since 2022","https://www.legislation.gov.au/Details/C2019A00038

",https://www.legislation.gov.au/C2021A00076,https://www.legislation.gov.au/Details/F2022L00062,,
8,8.3,User identify requirements,0.5,Telecommunications (Service Provider — Identity Checks for Prepaid Mobile Carriage Services) Determination 2017,"Telecommunication companies must identify their customer when that customer wants to activate a prepaid mobile service (Section 4.2). To activate a new prepaid mobile service, customers need to give their telecommunication company their name, date of birth and home address (or business name and address if acting on behalf of a business) (Section 4.3). Proof of ID is also necessary (Section 1.8). ",Since April 2017 ,https://www.legislation.gov.au/F2017L00399,https://www.acma.gov.au/acmas-rules-id-checks-prepaid-mobiles,,,
8,8.4,Monitoring requirements,1,Criminal Code Amendment (Sharing of Abhorrent Violent Material) Act 2019,"The Criminal Code Amendment (Sharing of Abhorrent Violent Material) Act 2019, subjects internet service providers, hosting and content providers to criminal penalties for the failure to report or remove ""abhorrent violent material"" that the providers have reasonable grounds to believe records or streams abhorrent violent conduct in Australia (Section 434.33-34).

The two key offences are:

- Failure to report—an offence for internet service providers, hosting and content providers that fail to notify the Australian Federal Police (AFP) within a reasonable time about material relating to abhorrent violent conduct occurring in Australia. A defence is available if the service provider can show that they had reasonable grounds to believe the AFP was already aware of the details of the material.

- Failure to remove—offences for content service and hosting services that fail to remove access to abhorrent violent material expeditiously where that material is reasonably capable of being accessed within Australia. The Act provides a range of defences to this offence. For example, in circumstances where it relates to law enforcement purposes, news and current affairs, public policy advocacy and research purposes.
",Since April 2019 ,https://www.legislation.gov.au/Details/C2019A00038,https://www.ag.gov.au/crime/publications/abhorrent-violent-material-act-fact-sheet,,,
8,8.4,Monitoring requirements,1,"Telecommunications (Interception and Access) Act 1979; 

Telecommunications and Other Legislation Amendment (Assistance and Access) Act 2018","It is prohibited for Internet service providers (ISPs)  and telecommunications services providers, acting on their own, to monitor and disclose the content of communications without the customer’s consent under the Telecommunications (Interception and Access) Act 1979 (Section 7). Such entities may monitor communications under the Telecommunications and Other Legislation Amendment (Assistance and Access) Act 2018 when required to assist certain law enforcement or national security agencies in carrying out their duties. The entities are also able to, but not required to, monitor their networks to carry out ""network protection duties."" 

Although there is no general monitoring requirement on telecommunications and Internet service providers, the Criminal Code Amendment (Sharing of Abhorrent Violent Conduct) Act 2019 provides that ""[a] person commits an offence if:
(a)  the person provides a hosting service; and
(b)  material is hosted on the hosting service; and
(c)  the material is abhorrent violent material; and
(d)  the person does not expeditiously cease hosting the material (Section 474.34(5)). 

Although the Act does not impose a duty to monitor content, as for ""abhorrent violent conduct"", it implies that Internet hosts need to put reasonable efforts to monitor and disable such materials. ","Since October 1979, last amended in October 2024; 

Since December 2018, last amended in September 2021

","https://www.legislation.gov.au/C2004A02124

",https://www.legislation.gov.au/Details/C2021C00496,,,
8,8.4,Monitoring requirements,0,Online Safety Act 2021,"Australia enacted an Online Safety Act that places additional responsibilities on digital platforms and internet service providers (ISPs) to remove harmful content posted on their services. Specifically, the Act reduces the time a site owner or ISP has to remove harmful content from 48 hours to 24 hours when served with a removal notice by the eSafety Commissioner. It also provides the eSafety Commissioner additional information collection powers and the power to require ISPs to disable access to material depicting violent conduct for a limited period during “crisis situations.”","Since July 2021, last amended in October 2024",https://www.legislation.gov.au/C2021A00076,,,,
9,9.1,"Blocking or filtering commercial web content
Exception: Not score political content, criminal content (e.g., child pornography), aged-restricted content, defamation and other non-commercial content.",0,Copyright Act 1968 ,"For contents implicating copyright infringements, the Copyright Act 1968 allows the owner of a copyright to request for an injunction against carriage service providers, including search engine providers, providing access to online locations outside Australia to take reasonable steps to disable access to the online locations that implicate copyright infringements (Section 115A). This section was inserted into the Copyright Act in June 2015. The Freedom House reported in 2019 that ""[o]owners of copyrighted material periodically obtain orders from the Federal Court of Australia blocking copyright-infringing websites. In a decision of the Federal Court in April 2020, orders were made requiring carriage service providers to block a range of copyright-infringing websites, the majority of which are pirate torrenting and streaming websites.""","Since June 1968, as amended in October 2024 ",https://www.legislation.gov.au/C1968A00063,,,,0.125
9,9.1,"Blocking or filtering commercial web content
Exception: Not score political content, criminal content (e.g., child pornography), aged-restricted content, defamation and other non-commercial content.",0,Online Safety Act 2021 ,"As per Part 8 of the Online Safety Act, an internet service provider may be requested or required to block access to: material that promotes/incites/instructs/depicts abhorrent violent conduct. Examples of steps that may be specified in the blocking request include (a) steps to block domain names that provide access to the material; (b) steps to block URLs that provide access to the material; (c) steps to block IP addresses that provide access to the material. The Commissioner is also not required to observe any requirements of procedural fairness in relation to the giving of the blocking request.","Since July 2021, last amended in October 2024",https://www.legislation.gov.au/C2021A00076,,,,
9,9.2,Internet shutdowns,0,"V-Dem, variable v2smgovshut","The indicator ""6.2.4 - Government Internet shut down in practice"" of the V-Dem Dataset, which measures whether the government has the technical capacity to actively make internet service cease, thus interrupting domestic access to the internet or whether the government has decided to do so, has a score of 3.96 in 2024 in Australia. This corresponds to ""Never, or almost never. The government does not typically interfere with the domestic access to the Internet."" ",Reported in 2024,https://www.v-dem.net/vdemds.html,,,,
9,9.3,"Online advertising requirements
Exception: Not score requirements that advertising should not be misleading",1,"Broadcasting Services Act 1992; 

Broadcasting Services (Online Content Service Provider Rules) 2018;

Broadcasting Services (Australian Content in Advertising) Standard 2018","There are requirements for gambling advertisement during live sport streamed over the internet under the Broadcasting Services (Online Content Service Provider Rules) 2018.

 In addition, at least 80% of ads on commercial TV between 6am and midnight must be Australian made under Broadcasting Services (Australian Content in Advertising) Standard 2018 (Part 2, Section 8). There are also regulations on advertisement during children's TV, advertisement for alcohol, tobacco or therapeutic goods, as well as election, referendum, and political advertisement.","Since July 1992, last amended in October 2024;

Since August 2018;

Since December 2018","https://www.legislation.gov.au/C2004A04401
",https://www.legislation.gov.au/Details/F2018L01203,https://www.legislation.gov.au/Details/F2018L01765,,
9,9.4,"Licensing requirements for online content providers and applications (social media platforms, new providers, VPN, cloud servics, etc.)
Exception: Not cover license for telecommunication facilities and service providers (captured under Pillar 5), License for e-commerce platform (captured under Pillar 12)",0,Australian Business Licence and Information Service (ABLIS) to check relevant licensing requirement,"No licensing requirement for online service providers are found. Previously, the Australian Cyber Security Centre (ACSC) commissioned an independent review of its Cloud Services Certification Program (CSCP) and Infosec Registered Assessors Program (IRAP).From 2 March 2020, ASD ceased the CSCP.",Last review in November 2024 ,https://ablis.business.gov.au/,,,,
10,10.1,"Import ban applied to ICT goods and online services (e.g. network equipment, servers, handsets, applications, and data processing)",0,Customs (Prohibited Imports) Regulations 1956,No import bans on ICT goods or digital services have been found.,"Since December 1956, last amended in October 2024 ",https://www.legislation.gov.au/F1996B03651,https://www.abf.gov.au/importing-exporting-and-manufacturing/prohibited-goods/list-of-items#,,,0.479
