Chapter,Question,Question: description,Individual Indicator Score,Source Legislation,Impact,Timeframe for Indicator,References,"References, 2","References, 3","References, 4",Overall Pillar Score
7,7.4,Requirements to allow government access to personal data,1,"Law No.27 on Personal Data Protection 2022
;
Law No.11 on Information and Electronic Transactions 2008
;
Regulation of the Government of the Republic of Indonesia No.71 on the Provision of Electronic System and Transaction 2019","The investigative powers granted to certain civil servants under the EIT Law and related regulations suggest that government access to data is permitted for investigative purposes, provided it is conducted in accordance with legal procedures and respects privacy rights. 

Electronic Information and Transactions Law (EIT Law) - Law No. 11 of 2008: Article 42-43 provide the framework for investigations related to electronic information and transactions. They grant specific civil servants the authority to conduct investigations, which must be carried out with respect for privacy and data integrity.

Government Regulation No. 71 of 2019: Article 43 allows certain civil servants within the government to have special investigative authority in the field of Information Technology and Electronic Transactions. This includes the ability to conduct investigations related to electronic systems and transactions, with a focus on protecting privacy and data integrity.

Indonesian legal framework emphasizes the protection of personal data and outlines specific conditions for government access, it does not explicitly provide for access without court orders. Any such access would likely be subject to strict legal procedures and oversight to ensure compliance with data protection standards.","Since October 2022
;
Since April 2008, last amended in January 2024
;
Since October 2019",https://peraturan.bpk.go.id/Home/Details/229798/uu-no-27-tahun-2022,"https://peraturan.bpk.go.id/Details/37589/uu-no-11-tahun-2008
;
https://peraturan.bpk.go.id/Details/37582/uu-no-19-tahun-2016
;
https://peraturan.bpk.go.id/Details/274494/uu-no-1-tahun-2024",https://peraturan.bpk.go.id/Details/122030/pp-no-71-tahun-2019,,
8,8.1,Lack of safe harbour for copyright infringements,0.50,"Circular of the Minister of Communication and Informatics Regulation No.5 2016 
;
Regulation of the Government of the Republic of Indonesia No.80 on Trading Through the Electronic System (E-commerce Law) 2019
","Domestic and/or foreign Electronic System Operators in Trade (PPMSE), as well as Intermediary Service Providers, are held liable for any legal consequences arising from the presence of illegal electronic information content.
However, this liability does not apply if the respective domestic and/or foreign PPMSE acts promptly to remove electronic links and/or illegal electronic information content upon acquiring actual knowledge or awareness of such content.

This provision does not apply to Intermediary Service Providers acting in the following capacities:
a.	As a mere conduit, meaning they only transmit information and: (1) Do not initiate the transmission; (2) Do not select the receiver of the transmission; and (3) Do not modify the information being transmitted.
b.	As a caching provider, meaning they temporarily store information solely for the efficiency of communications, provided that they: (1) Do not modify the stored information; (2) Comply with conditions on accessing such information; (3) Follow rules for updating information in accordance with widely accepted industry standards; (4) Do not interfere with lawful technologies widely used in the industry to obtain data on the use of such information; and (5) Act promptly to delete or disable access to stored information upon gaining actual knowledge that the original source has removed or disabled access to such information, or upon order by a court or authority.
c.	As a hosting provider, meaning they offer storage space for the placement or uploading of content, and: (1) Have no actual knowledge of illegal acts or information, and if there is a claim for damages, the provider was not aware of the illegal nature of the act or content; or (2) Upon acquiring such knowledge or awareness, the provider acts promptly to remove or disable access to the content.
d.	As a search engine, which functions as a provider, finder, or crawler of information and networks.
Additionally, intermediary service providers offering interactive computer services shall not be held liable or subject to legal claims for actions taken to restrict or remove access to content, if:
●	The action was voluntarily taken in good faith to restrict access to or availability of material that the user or provider believes falls under the category of illegal electronic content, without requiring a legal determination of its protected status; or
●	The action was taken to restrict public access, disable, or make such content inaccessible, either based on the provider’s own assessment or that of a third party.","Since 2016
;
Since November 2019
",https://jdih.kominfo.go.id/produk_hukum/view/id/558/t/surat+edaran+menteri++komunikasi+dan+informatika+nomor+5+tahun+2016+tanggal+30+desember+2016,https://peraturan.bpk.go.id/Home/Details/126143/pp-no-80-tahun-2019,,,0.625
8,8.1,Lack of safe harbour for copyright infringements,0,Copyright Law No.28 2014,"In Indonesia, the concept of safe harbor for copyright infringements is primarily addressed under the Law Number 28 of 2014 on Copyrights. However, the law itself does not explicitly use the term ""safe harbor"" as it is commonly understood in jurisdictions like the United States under the DMCA. Instead, the Indonesian law provides a framework that indirectly supports the concept through its provisions on intermediary liability and the responsibilities of online platforms. The relevant provisions in the Indonesian Copyright Law that relate to the responsibilities of online platforms and could be interpreted as providing a form of safe harbor include:
- Article 10 outlines the rights and obligations of copyright holders and users, which can indirectly affect how platforms manage user-generated content and copyright infringements.
- Article 43 discusses the limitations and exceptions to copyright, which may include provisions that affect how online platforms handle content.
- Article 44 provides for the protection of technological measures and rights management information, which can be relevant to how platforms manage and protect copyrighted content.
- Article 55 outlines the liability of service providers. It states that service providers are not liable for copyright infringement if they can demonstrate that they did not have knowledge of the infringing activity and acted promptly to remove or disable access to the infringing content upon receiving a notice.","Since October 2014
",https://peraturan.bpk.go.id/Details/38690,,,,
8,8.1,Lack of safe harbour for copyright infringements,0.50,"Law No.11 on Information and Electronic Transactions 2008
;
Law No.19 on Amendments to Law No.11 of 2008 on Electronic Information and Transactions 2016
;
Law No.1 on the Second Amendment to Law No.11 of 2008 on Electronic Information and Transactions 2024","Law No. 11 of 2008 on Information and Electronic Transactions (ITE Law). The ITE Law is another important piece of legislation that governs electronic transactions and online content in Indonesia. It does not explicitly offer a safe harbor for online platforms in the context of copyright infringement, but it touches on issues related to online content and its regulation.
- Article 15 discusses the liability of electronic system providers. It states that they are responsible for the operation of their systems but are not liable for user-generated content if they can prove that the infringement was due to force majeure, user error, or negligence on the part of the user.
- Article 27 (1) Prohibits the distribution of content that infringes on another’s rights, including intellectual property rights. This could apply to online platforms, but it does not specify the liability of platforms for user-uploaded infringing content.
- Article 28 elaborates on the prohibition of content that violates the law, including defamation, obscenity, or the infringement of intellectual property rights. Again, this article does not address safe harbor provisions or limitations on platform liability.
- Article 29 Imposes obligations on service providers to ensure their services do not violate laws, which might include copyright infringement, but it does not include protections or exemptions for service providers.","Since April 2008, last amended in January 2024
;
Since November 2016
;
Since January 2024",https://peraturan.bpk.go.id/Details/37589/uu-no-11-tahun-2008,https://peraturan.bpk.go.id/Details/37582/uu-no-19-tahun-2016,https://peraturan.bpk.go.id/Details/274494/uu-no-1-tahun-2024,,
8,8.2,Export restrictions on ICTgoods and online services,0.50,"Regulation of the Minister of Communication and Informatics No.5 on Trial of Telecommunication, Informatics, and Broadcasting Technology 2016 
;
Regulation of the Government of the Republic of Indonesia No.80 on Trading Through the Electronic System (E-commerce Law) 2019
;
Regulation of the Minister of Communication and Informatics of the Republic of Indonesia No.5 on Private Electronic System Operators 2020
;
Minister of Communication and Informatics Regulation No. 10 on the Amendment to Minister of Communication and Informatics Regulation No. 5 of 2020 on Private Electronic System Operators 2021","The Circular of the Minister of Communication and Information Technology No. 5/ 2016 provides the exemption to e-commerce providers from the liability for failures to comply with the relevant laws in the event of force majeure, errors, or negligence. E-commerce providers will only be responsible for prohibited content posted on their platform if they are unable to prove that the uploading of such content was caused by the users.

Government Regulation No.80/2019 provides a broad immunity to e-commerce service providers and intermediary service providers from the legal consequences arising from illegal third-party content. For e-commerce service providers, the regulation discharges them from any liability for illegal content found on their platforms, provided they have acted expeditiously to remove or disable access to such content after knowing of its existence (either by way of a report from a third party or finding it out themselves). To ensure that an e-commerce service provider is alerted of illegal content on its platform, the regulation requires such provider to provide terms of use/terms and conditions of the platform to its users and employing certain technology and/or feature in the platform for users to submit a report. For intermediary service providers, the regulation discharges them from any liability for illegal content provided that such providers are acting as a mere conduit. This will be evidenced by, among others, the provider's lack of control over the transmission. If an intermediary service provider provides an 'interactive computer service', such as a social media platform, they will be discharged from any liability for restricting or removing access to content if such action was carried out in good faith and based on a report that such content is illegal.

MOCI Regulation 5 now provides that private ESOs hosting user-generated content may be exempted from legal liability for prohibited content transmitted or distributed on their electronic systems as long as they have fulfilled their governance obligations, shared information on subscribers who uploaded the prohibited content for monitoring and law enforcement purposes, and taken down the prohibited content as regulated under MOCI Regulation 5. Private ESOs must ensure that their electronic systems do not (i) contain prohibited electronic information or documents and (ii) facilitate dissemination of prohibited electronic information or documents. They also must take down prohibited content within 24 hours or four hours (the latter is for urgent prohibited content, such as child pornography content, terrorism content and content that causes public unrest, which is very broad) after receiving the takedown notice. MOCI Regulation 5 classifies prohibited content into content that:
- is in violation of laws and regulations
- causes anxiety for society and disturbs public order based on the government’s assessment
- posts or provides access to prohibited content. ","Since April 2016
;
Since November 2019
;
Since November 2020, last amended in May 2021
;
Since May 2021",https://peraturan.bpk.go.id/Details/150526/permenkominfo-no-5-tahun-2016,https://peraturan.bpk.go.id/Home/Details/126143/pp-no-80-tahun-2019,https://peraturan.bpk.go.id/Details/203049/permenkominfo-no-5-tahun-2020,https://peraturan.bpk.go.id/Details/203121/permenkominfo-no-10-tahun-2021,
8,8.2,Export restrictions on ICTgoods and online services,0.50,"Law No.11 on Information and Electronic Transactions 2008
;
Law No.19 on Amendments to Law No.11 of 2008 on Electronic Information and Transactions 2016
;
Law No.1 on the Second Amendment to Law No.11 of 2008 on Electronic Information and Transactions 2024","Indonesia’s Law No. 11 of 2008 on Electronic Information and Transactions (ITE Law) is the main regulation that governs online conduct, but it does not provide a safe harbor for online service providers when it comes to illegal activities carried out by users. The law addresses various illegal online activities, such as:
- Defamation (Article 27): Prohibits the dissemination of false information or defamation online. Criminalizes the distribution of illegal content (e.g., defamation, pornography, hate speech).
- Illegal Content Distribution (Article 27): Prohibits the distribution of pornography, gambling, or content that violates intellectual property rights.
- Article 28: Criminalizes the dissemination of false or misleading information.
- Cybercrime (Article 30 and 31): Deals with unauthorized access to computers or networks, fraud, and other forms of cybercrime.
- Article 40(2b): Requires electronic system providers (ESPs) to take down illegal content upon government request. Failure to comply may result in liability for the intermediary.

Electronic Information and Transactions Law (ITE Law) – Law No. 11 of 2008 (as amended by Law No. 19 of 2016): The ITE Law governs electronic transactions, information systems, and online content. It does not explicitly provide safe harbor protections for intermediaries.
- Article 27: Criminalizes the distribution of illegal content (e.g., defamation, pornography, hate speech).
- Article 28: Criminalizes the dissemination of false or misleading information.
- Article 40(2b): Requires electronic system providers (ESPs) to take down illegal content upon government request. Failure to comply may result in liability for the intermediary.
Implication: Intermediaries may be held liable if they fail to act on ","Since April 2008, last amended in January 2024
;
Since November 2016
;
Since January 2024",https://peraturan.bpk.go.id/Details/37589/uu-no-11-tahun-2008,https://peraturan.bpk.go.id/Details/37582/uu-no-19-tahun-2016,https://peraturan.bpk.go.id/Details/274494/uu-no-1-tahun-2024,,
8,8.3,User identify requirements,0.50,"Regulation of the Minister of Communication and Informatics of the Republic of Indonesia No.14 2017; 

Regulation of the Minister of Communication and Informatics of the Republic of Indonesia No.21 of 2021","Minister of Communication and Information Technology Regulation No. 14 of 2017 states that to get a prepaid phone SIM card in Indonesia, a customer must register their phone prepaid SIM card with their valid national ID and family register card, or a passport for foreigners. For the Registration process using passport, the information to be registered includes at least name, passport number, citizenship, and place and date of birth.

Minister of Communication and Information Technology Regulation No. 21 of 2021 strengthens Indonesia’s SIM card registration process by requiring both prepaid and postpaid SIM cards to be registered with valid identity information (Article 3). Indonesian citizens must use their KTP, while foreign nationals must use their passport (Article 3). Mobile operators are mandated to verify the registration information by cross-checking it with the Dukcapil (for locals) or Immigration (for foreigners) databases (Article 4). The regulation introduces the use of digital IDs and biometric verification (such as facial recognition or electronic signatures) to streamline and secure the registration process (Article 5). It also reinforces data protection measures, ensuring personal data is securely handled in line with Indonesia’s Personal Data Protection Law (Article 6). To combat fraudulent registrations, operators must implement anti-fraud measures (Article 7), and non-registered SIM cards will be blocked (Article 8). These provisions work together to enhance telecommunications security, reduce fraud, and ensure that SIM cards are linked to verified identities.
","Since 2017, last amended in 2021;
;
Since April 2021",https://jdih.kominfo.go.id/produk_hukum/view/id/588/t/peraturan+menteri+komunikasi+dan+informatika+nomor+14+tahun+2017+tanggal+5+september+2017,https://peraturan.bpk.go.id/Details/203070/permenkominfo-no-5-tahun-2021,,,
8,8.3,User identify requirements,1,Regulation of Minister of Communications and Informatics No.5 on Telecommunications Operation 2021,"The Minister of Communication and Information Technology Regulation No. 5 of 2021 includes user identity requirements, though these are primarily in the context of electronic systems and digital transactions.
- Article 3 - Obligations of Electronic system operators (ESOs) (which include online platforms, e-commerce, digital service providers, etc.) are required to verify the identity of users when conducting digital transactions. This ensures that the individuals using the platforms are properly identified to prevent fraudulent activities, protect user privacy, and ensure security during transactions.
- Article 5 ESOs are obligated to ensure that they collect and store personal data securely, and they must implement measures to protect user identities during digital transactions. The regulation ensures that personal information is only used for the intended purposes, such as verifying identities during transactions and ensuring privacy.
- Article 6 emphasizes the importance of electronic signatures, which must be linked to a verified user identity. When users sign digital contracts or engage in electronic transactions, their identity is verified using electronic signatures that provide a secure and legal way of confirming the identity of the person performing the transaction.
- Article 9 ESOs are required to ensure that the content uploaded by users, including the identity of those users, complies with Indonesian laws. This includes ensuring that illegal or fraudulent content is not published, which also relates to managing and verifying the identity of those posting or transacting on their platforms.",Since March 2021,https://peraturan.bpk.go.id/Details/203070/permenkominfo-no-5-tahun-2021,,,,
8,8.4,Monitoring requirements,1,"Regulation of the Minister of Communication and Informatics of the Republic of Indonesia No.5 on Private Electronic System Operators 2020;

Minister of Communication and Informatics Regulation No. 10 on the Amendment to Minister of Communication and Informatics Regulation No. 5 of 2020 on Private Electronic System Operators 2021






","Indonesia imposes monitoring requirements under Minister of Communication and Information Technology Regulation No. 5 of 2021 concerning Private Electronic System Operators (PSE). 
- Article 9 Platforms must ensure their systems can prevent access to prohibited content.
- Article 14 Requires PSEs to actively block or remove content deemed unlawful or that disrupts public order within 24 hours of receiving a government notification. In urgent cases (e.g., terrorism or pornography), the timeframe is reduced to 4 hours.
Prohibited Content: Includes material violating laws, promoting violence, defamation, or threatening public safety. This is monitored via complaints from the public, automated systems, or direct orders from the Ministry.","Since November 2020, last amended in May 2021
;
Since May 2021",https://peraturan.bpk.go.id/Details/203049/permenkominfo-no-5-tahun-2020,https://peraturan.bpk.go.id/Details/203121/permenkominfo-no-10-tahun-2021,,,
9,9.1,"Blocking or filtering commercial web content
Exception: Not score political content, criminal content (e.g., child pornography), aged-restricted content, defamation and other non-commercial content.",1,"Regulation of the Minister of Communication and Informatics of the Republic of Indonesia No.20 on Protection of Personal Data in Electronic Systems 2016
;
Regulation of the Government of the Republic of Indonesia No. 40 of 2019 on the Implementation of Law No. 23 of 2006 on Population Administration as Amended by Law No. 24 of 2013 on Amendments to Law No. 23 of 2006 on Population Administration 2019","In 2014, Indonesia blocked video-sharing websites: Reddit and Imgur. In 2015, Indonesia blocked another video-sharing website Vimeo. In March 2020, the online subtitling service Subscene.com was reportedly blocked.

Since 2016, the government can prevent the dissemination of prohibited content through blockings. Minisry of Informatics and Communications can block content and users to prevent the dissemination of prohibited content, following requests by enforcement agencies or the public.

In January 2018, the Ministry of Communication and Information Technology (MCIT) launched “Cyber Drone 9,” a crawler system driven by AI tools that are designed to proactively detect content violations. It replaced the Trust+ system, which relied on a passive database. A specialized task force monitors the new system and reviews the material it flags for filtering and blocking; the blocking itself is still carried out by ISPs. Each ISP may employ its software for blocking and thus may blacklist additional sites at its discretion. This has increased the likelihood of arbitrary, inconsistent blocking, creating uncertainty for users seeking redress when content is wrongfully blocked. In July 2020, the MCIT stated that it planned to purchase more sophisticated technology to block more categories of negative content and websites.

In Indonesia, the primary laws enabling the blocking of commercial web content are ITE Law, GR 71/2019, and PM Kominfo 5/2020, with specific focus on illegal content, system registration, and public order. These laws reflect Indonesia’s aim to regulate its digital ecosystem while balancing governance with user freedoms. ","Since December 2016
;
Since May 2019

","http://makna.co/wp-content/uploads/2018/01/MOCI-Regulation-No-20-of-2016-Makna-Eng.pdf
;
https://peraturan.bpk.go.id/Details/150543/permenkominfo-no-20-tahun-2016",https://peraturan.bpk.go.id/Home/Details/108801/pp-no-40-tahun-2019,,,0.667
9,9.1,"Blocking or filtering commercial web content
Exception: Not score political content, criminal content (e.g., child pornography), aged-restricted content, defamation and other non-commercial content.",1,"Law No.11 on Information and Electronic Transactions 2008
;
Law No.19 on Amendments to Law No.11 of 2008 on Electronic Information and Transactions 2016
;
Law No.1 on the Second Amendment to Law No.11 of 2008 on Electronic Information and Transactions 2024","Law No. 11 of 2008 on Electronic Information and Transactions (ITE Law) (as amended by Law No. 19 of 2016)
- Article 40, Paragraphs 2 and 2a grants the government authority to block access to electronic information and/or documents that violate laws. Mandates the Ministry of Communication and Information Technology (Kominfo) to ensure a safe and responsible digital ecosystem.","Since April 2008, last amended in January 2024
;
Since November 2016
;
Since January 2024",https://peraturan.bpk.go.id/Details/37589/uu-no-11-tahun-2008,https://peraturan.bpk.go.id/Details/37582/uu-no-19-tahun-2016,https://peraturan.bpk.go.id/Details/274494/uu-no-1-tahun-2024,,
9,9.1,"Blocking or filtering commercial web content
Exception: Not score political content, criminal content (e.g., child pornography), aged-restricted content, defamation and other non-commercial content.",1,Regulation of the Government of the Republic of Indonesia No.71 on the Provision of Electronic System and Transaction 2019,"Government Regulation No. 71 of 2019 on the Implementation of Electronic Systems and Transactions (GR 71/2019)
- Article 5 Requires electronic system providers (ESPs) to ensure the integrity of their systems and content.
- Article 9, Paragraph 3 Obligates ESPs to comply with requests from the government to take down or block specific content.
- Article 100 Authorizes Kominfo to block systems or content that violates public order, morality, or state security.","Since October 2019

",https://peraturan.bpk.go.id/Details/122030/pp-no-71-tahun-2019,,,,
