Chapter,Question,Question: description,Individual Indicator Score,Source Legislation,Impact,Timeframe for Indicator,References,"References, 2","References, 3","References, 4",Overall Pillar Score
7,7.2,"Minimum period of data retention requirements
Exception: Not score requirement applied to government data.",0,Law on Protection of Personal Data 2015,"Article 7 of Armenia's Law on Protection of Personal Data specifies the principles regarding data retention. It states that personal data should not be stored longer than necessary for the purposes for which it was collected or processed. Once the data’s purpose has been fulfilled, it should be deleted or anonymized, ensuring that unnecessary personal data is not retained indefinitely.

","Since May 2015, last amended in March 2022",https://www.moj.am/storage/uploads/Personal_data_protection_law_ENG_OFFICIAL.pdf,,,,
7,7.3,Data Protection Impact Assessment (DPIA) or Data Protection Officer (DPO) requirements,0,Law on Protection of Personal Data 2015,"Armenia’s Law on Personal Data Protection (2015, amended 2020) does not currently mandate specific requirements for conducting Data Protection Impact Assessments (DPIAs) or appointing Data Protection Officers (DPOs), as is commonly seen in more comprehensive data protection frameworks like the EU's General Data Protection Regulation (GDPR).

","Since May 2015, last amended in March 2022",https://www.moj.am/storage/uploads/Personal_data_protection_law_ENG_OFFICIAL.pdf,,,,
7,7.4,Requirements to allow government access to personal data,0,Law on Protection of Personal Data 2015,"Article 18 (Responsibilities of processor of personal data in the course of collecting personal data)  of this law allows for exceptions to the general rules of personal data protection when it comes to processing for purposes of state security, public order, or law enforcement. ","Since May 2015, last amended in March 2022",https://www.moj.am/storage/uploads/Personal_data_protection_law_ENG_OFFICIAL.pdf,,,,
7,7.4,Requirements to allow government access to personal data,0,Law on Electronic Communications 2005,"Article 50 (Interception, recording, or disclosure of messages) concerns Interception, recording, or disclosure of messages. Individuals who are not parties to an electronic communication may only intercept, record, or disclose its content if they have obtained written consent from the parties involved or a court order, as permitted by law. 

Additionally, operators of public or private electronic communications networks and service providers, along with their employees, may intercept or redirect messages solely as part of their official duties, but they are not permitted to disclose the content of these communications. In cases outlined by law, all operators and service providers are required to grant law enforcement and national security personnel access to their communications equipment, facilities, switches, routers, or other relevant equipment, including wiretapping devices.","Since July 2005, last amended in June 2021",https://www.arlis.am/Annexes/4/elektr_com_en.pdf,,,,
7,7.4,Requirements to allow government access to personal data,0,Criminal Procedure Code of the Republic of Armenia 2003,"According to Article 284 (Discussion procedure of appeals against operative-searching measures), operative-search measures that restrict individual privacy, like monitoring communications, require a court ruling unless one party consents. Authorization must come from a court within the district of the operative body or the district making the request. The operative body submits a decree explaining the need, expected data, location, and timeframe for the measures, along with supporting evidence. A judge reviews the appeal privately within 12 hours, often with only the requesting official present. The judge can request further evidence, but exceptions apply if this risks exposing sensitive information or individuals.

The court then approves or denies the request, providing reasons and returning the materials to the operative body. Authorization is valid for six months but can be extended if needed. In urgent situations, like terrorist threats, the operative body may act for 48 hours and notify the court. If the court finds the reasons insufficient, the operation is stopped, and collected data is destroyed; otherwise, the court authorizes continued action.





","Since April 2003, last amended in January 2022",http://www.parliament.am/law_docs/010998HO248eng.pdf?lang=eng,,,,
8,8.1,Lack of safe harbour for copyright infringements,1,Law on Copyright and Related Rights 2006,"Since 2006, the law governs copyright protection in Armenia, but it does not contain specific provisions for safe harbor protections similar to those in the DMCA or EU's e-Commerce Directive.","Since November 2006, last amended in September 2013
","https://www.uaipit.com/en/documents-record?/5773/law-of-the-republic-of-armenia-of-june-15-2006-on-copyright-and-related-rights-as-amended-on-september-30-2013 , https://mblegal.am/copyright-protection-in-armenia/",,,,"0,500"
8,8.2,Export restrictions on ICTgoods and online services,0,Law on Electronic Communications 2005,"This law regulates telecommunication services and internet service providers (ISPs) in Armenia. 

In accordance with the Law on Electronic Communications, ISPs are considered as the providers of electronic communication services, while electronic communication services exclude services that provide or exercise editorial control over the content transmitted via electronic communications networks. Therefore, ISPs cannot be held liable for user-generated content deemed illegal under Armenian law.","Since July 2005, last amended in August 2018",https://www.arlis.am/Annexes/4/elektr_com_en.pdf,,,,
8,8.3,User identify requirements,1,Law on Electronic Communications 2005,"The requirement for consumer identification in the provision of telecommunications services is addressed in Article 43.1.3 (Uninterrupted provision of services without discrimination) of Armenia's Law on Electronic Communications. This article, under Chapter 9 ""Consumer Rights Protection,"" specifies that service providers may refuse to offer or continue retail services if the end-user fails to provide identification data of the connection point to the public communications network or an address enabling service provision.","Since July 2005, last amended in August 2018",https://www.arlis.am/Annexes/4/elektr_com_en.pdf,,,,
8,8.3,User identify requirements,0,Law on Dissemination of Mass Information 2003 ,"Article 11 (Submission of issue data) mandates that each media product issue include specific identifying details. These required details are:
- Media Product Name: The title under which the media is published.
- Publisher Information: For a legal entity, this includes the full name, type of legal organization, address, and registration details. If a natural person is responsible, their name, address, and registration details (if they are an individual entrepreneur) must be provided.
- Responsible Individual: The passport name of the person responsible for that specific issue of the media product.
Publication Date: Year, month, and day of the issue’s publication.
- Circulation Count: The total number of copies printed for that issue.

The article also allows for additional data to be included beyond these requirements. For television and radio broadcasts, issue data must follow Armenia's legislation on Television and Radio.","Since December 2003, last amended in May 2022",http://www.parliament.am/legislation.php?sel=show&ID=1890&lang=eng,,,,
8,8.4,Monitoring requirements,0,Law on Electronic Communications 2005,"This law governs telecommunications and internet service providers (ISPs). While it does not directly address UGC (user generated content) monitoring, ISPs may be required to provide access to user data and communications to law enforcement agencies for national security or criminal investigations. This could include cases where user-generated content on platforms is deemed illegal, such as for hate speech, defamation, or fraud.

Article 5 (Functions of the regulator) allows the Regulator to regulate public electronic communications networks and services in accordance with this Law, and for that purpose shall establish record retention standards for regulated persons. The retention of data for the purposes of supporting law enforcement investigations, but it does not specify mandatory monitoring requirements for content created by users.

In accordance with the Law, providers of electronic communication services may not provide or exercise editorial control over the content transmitted via electronic communications networks. Therefore, providers of electronic communication services cannot be required to monitor the content created by users.","Since July 2005, last amended in August 2018",https://www.arlis.am/Annexes/4/elektr_com_en.pdf,,,,
9,9.1,"Blocking or filtering commercial web content
Exception: Not score political content, criminal content (e.g., child pornography), aged-restricted content, defamation and other non-commercial content.",0,Law on Television and Radio Broadcasting 2000,"There is no specific law or distinct online content regulatory framework exists in Armenia. Since 2001, this law regulates media and content access. As per the amendment of 2021, restrictions control politically sensitive content, affecting foreign platforms distributing such content.",Since October 2000,http://www.parliament.am/legislation.php?sel=show&ID=1464&lang=eng,,,,"0,125"
9,9.1,"Blocking or filtering commercial web content
Exception: Not score political content, criminal content (e.g., child pornography), aged-restricted content, defamation and other non-commercial content.",0,Law on Electronic Communications 2005,"This law empowers the Public Services Regulatory Commission (PSRC) to regulate and monitor telecommunications, including internet services. However, there is no specific provision in the Law on Electronic Communications explicitly address blocking or filtering of commercial content. 
","Since July 2005, last amended in August 2018",https://www.arlis.am/Annexes/4/elektr_com_en.pdf,,,,
9,9.2,Internet shutdowns,0,"V-Dem, variable v2smgovshut, ""Government Internet shutdown in practice""","Armenia’s laws do not explicitly mandate internet shutdowns, but provisions exist that allow the government to take extreme measures, including restricting or suspending telecommunications services, during emergencies related to national security, public safety, or criminal investigations. However, the government does not typically interfere with the domestic access to the Internet.

The indicator ""6.2.4 - Government Internet shut down in practice"" of the V-Dem Dataset, which measures whether the government has the technical capacity to actively make internet service cease, thus interrupting domestic access to the internet or whether the government has decided to do so, has a score of 3.93 in Armenia. This refers to when Internet shutdown is never or almost never.",Reported in 2024,https://www.v-dem.net/vdemds.html,,,,
9,9.2,Internet shutdowns,0,Law on Electronic Communications 2005,"Article 6 of this law grants the Public Services Regulatory Commission (PSRC) and other relevant government authorities the power to regulate and control telecommunications services, including suspending or restricting services in cases where national security or public safety is at risk.","Since July 2005, last amended in August 2018",https://www.arlis.am/Annexes/4/elektr_com_en.pdf,,,,
9,9.3,"Online advertising requirements
Exception: Not score requirements that advertising should not be misleading",1,Law on Advertising 1996,"Law on Advertising governs advertising activities in Armenia, including online advertising. It prohibits misleading advertising, which is defined as advertisements that contain false information or could deceive consumers regarding the quality, characteristics, price, or other aspects of goods and services.

Specifically, Article 8 (Appropriateness of advertising) provides that an advertisement is banned if it violates the appropriateness of advertising, namely: 1) if it discredits the conventional and national norms of morality; b) if it contains insulting phrases, comparisons and images with regard to the race, nationality, profession or social background, age group or sex, language, religious or other beliefs; c) if it directly or indirectly discredits state symbols (emblem, flag, hymn, currency notes, etc) or expresses disrespectful attitude towards them; d) if it discredits legal or physical entities, as well as the industrial, commercial or other activities, profession, assortment, etc.

Article 9 (Advertising in electronic media) prescribes specific restrictions on advertising in electronic media, setting limits on the frequency and duration of ads in radio and TV programs. It prohibits more than one ad break in radio programs shorter than 10 minutes and TV programs shorter than 20 minutes, while also requiring that ads are aired no more frequently than once every 20 minutes. Additionally, ads cannot exceed a total of 10 minutes per broadcasting hour. During official information broadcasts, ad breaks are completely banned. Social advertising, however, has no frequency limit but is restricted to 5 minutes per hour. These rules don’t apply to programs that are advertisements themselves or are aired on dedicated advertising channels.","Since April 1996, last amended in June 2020",http://www.parliament.am/legislation.php?sel=alpha&lang=eng,,,,
9,9.4,"Licensing requirements for online content providers and applications (social media platforms, new providers, VPN, cloud servics, etc.)
Exception: Not cover license for telecommunication facilities and service providers (captured under Pillar 5), License for e-commerce platform (captured under Pillar 12)",0,Law on Electronic Communications 2005,"This law governs telecommunications services and infrastructure but does not explicitly cover licensing for online platforms like social media or VPN services. It primarily focuses on the regulation of telecommunications operators and service providers involved in communication networks. Under Article 2, “Internet service provider” refers to a a person that provides an Internet access service.","Since July 2005, last amended in August 2018",https://www.arlis.am/Annexes/4/elektr_com_en.pdf,,,,
9,9.4,"Licensing requirements for online content providers and applications (social media platforms, new providers, VPN, cloud servics, etc.)
Exception: Not cover license for telecommunication facilities and service providers (captured under Pillar 5), License for e-commerce platform (captured under Pillar 12)",0,Law on Television and Radio Broadcasting 2000,"This law regulates activities of television and radio broadcasting companies. However, there is no explicit mention of online content streaming within the law's provisions, indicating that this legislation may not directly apply to internet-based streaming services. 

Specifically, Article 47 (Licensing) establishes that a license is the sole legal authorization for broadcasting television and radio programs using specific frequencies, cable, or wire networks in Armenia. Broadcasting licenses are granted through a competitive process based on available frequency lists. The license allows the holder to enter into lease agreements with organizations that own telecommunication devices for broadcasting purposes. Additionally, the license is non-transferable; the licensed entity cannot sell or transfer the license to another entity.

Moreover, the application must include details such as the type of broadcasting (airing, cable, wire), the applicant's name and legal address, the content and specialization of the programs, the regularity and volume of broadcasts, the languages used, the coverage area and population size, information about other licenses held, technical facilities, financial sources, broadcast schedule, and preliminary details about staff (Article 49 application of the license, for furthur details, please see Article 50 describes the criteria for selecting licensees). 

",Since October 2000,http://www.parliament.am/legislation.php?sel=show&ID=1464&lang=eng,,,,
10,10.1,"Import ban applied to ICT goods and online services (e.g. network equipment, servers, handsets, applications, and data processing)",0,"The Single List of Goods to which Non-Tariff Regulation Measures are Applied in Trade with Third Countries (Decision of the Collegium of the Eurasian Economic Commission (EEC) No. 30 “On Measures of Non-Tariff Regulation”;

Decision of the Board of the Eurasian Economic Commission No.30 2015","The list of goods subject to import and export prohibitions or restrictions in the Eurasian Economic Union, including Russia is determined by the Decision of the Board of Eurasian Economic Commission dating 2012. The decision of the Board of the Eurasian Economic Commission dated April 21, 2015 No. 30 “On non-tariff regulation measures” (hereinafter referred to as the Decision) established a ban on the import into the customs territory of the EAEU of goods included in section 1.3 “Information on printed, audiovisual and other media, prohibited for import and export"" (Appendix No. 1 to the Decision). The Decision has been amended a few times since then. According to Section 1 of the so called ""Single List"" contained in the Decision, no prohibition exists on the import of digital goods, except for the prohibition of importation of the audiovisual materials and other information media containing information against the public morals, public order and security. Such information includes content promoting extremism or terrorism, pornographic materials, political and economic interests of the state, including national security, public health and morals of the citizens, among others.
","Since August 2012

Since April 2015 
",http://www.eurasiancommission.org/en/act/trade/catr/nontariff/Pages/ediny_perechen.aspx,http://www.eurasiancommission.org/en/act/trade/catr/nontariff/Pages/ediny_perechen.aspx,,,"0,375"
10,10.1,"Import ban applied to ICT goods and online services (e.g. network equipment, servers, handsets, applications, and data processing)",0,Customs Code of the Republic of Armenia 2001,"Since 2001, this law governs the customs procedures and duties on imported goods, including ICT products. As part of the Eurasian Economic Union (EAEU), Armenia applies the EAEU common external tariff. These tariffs can create moderate barriers for foreign companies, particularly for importing ICT products, but do not present significant non-tariff barriers.

Article 102 outlines customs duty rates, which are 0% and 10% for imported goods. ICT products may fall under these rates depending on their classification.","Since January 2001, last amended in April 2003",http://www.parliament.am/law_docs/090800HO83eng.pdf,,,,
10,10.2,Other import restrictions on ICT goods and online services,1,The Single List of Goods to which Non-Tariff Regulation Measures are Applied in Trade with Third Countries (Decision of the Collegium of the Eurasian Economic Commission (EEC) No. 30 “On Measures of Non-Tariff Regulation” ,"According to Decision of the Board of the Eurasian Economic Commission dated April 21, 2015 No. 30 “On non-tariff regulation measures” (hereinafter referred to as the Decision) established the permitting procedure for the import into the customs territory of the EAEU of goods (Appendix No. 2 to the Decision). The licensing procedures are applied to the importation of certain digital goods to the Eurasian Economic Union, including Russia. These digital goods are the following: (i) Civil radio-electronic equipment and/or high-frequency devices including those which are built-in or form a part of other goods; (ii) Special hardware meant for secret information acquisition; (iii) Encryption devices.

Specifically, 2.16 “Radio-electronic equipment and (or ) high-frequency devices for civil purposes, including those built-in or included in other goods,” the import of which into the customs territory of the EAEU is carried out in accordance with the Regulations on the import into the customs territory of the Eurasian Economic Union of radio-electronic devices and high-frequency devices for civil purposes, including built-in or included in other goods (Appendix No. 15 to the Decision) when submitting to the customs authority of a member state of the EAEU a license from the Ministry of Industry and Trade of Russia or a conclusion (permit document) of Roskomnadzor or information on the inclusion of radio-electronic equipment and high-frequency devices in the unified register of radio-electronic equipment and high-frequency devices; 
2.17 “Special technical means intended for secretly obtaining information”, the import of which into the customs territory of the EAEU is carried out in accordance with the Regulations on the import into the customs territory of the Eurasian Economic Union and export from the customs territory of the Eurasian Economic Union of special technical means intended for secretly obtaining information ( Appendix No. 16 to the Decision) when submitting to the customs authority a license from the Ministry of Industry and Trade of Russia and (or) a conclusion (permit document) from  Federal Security Service; 
2.19. “Encryption (cryptographic) means”, the import of which into the customs territory of the EAEU is carried out in accordance with the Regulations on the import into the customs territory of the Eurasian Economic Union and export from the customs territory of the Eurasian Economic Union of encryption (cryptographic) means (Appendix No. 9 to the Decision) upon presentation to the customs authority of a member state of the EAEU if there is information about the inclusion of the corresponding notification in the unified register of notifications or if there is a license from the Ministry of Industry and Trade of Russia and (or) a conclusion (permit document).
","Since August 2012;

Since April 2015 
",http://www.eurasiancommission.org/en/act/trade/catr/nontariff/Pages/ediny_perechen.aspx,http://www.eurasiancommission.org/en/act/trade/catr/nontariff/Pages/ediny_perechen.aspx,,,
10,10.3,Local content requirements ,0,Law on Public Procurement 2016,"Armenia's public procurement system encourages the use of local suppliers, particularly for government contracts. While there is no formal local content mandate, public procurement laws provide a framework that can favor local businesses when bidding for government contracts, especially in sectors such as construction, infrastructure, and services.

The Law on Procurement (2010) requires that government contracts give consideration to local suppliers but does not mandate specific local content percentages for goods or services.","Since December 2016, last amended in April 2022",https://gnumner.minfin.am/website/images/original/0d2dc151.docx,,,,
10,10.4,Export restrictions on ICTgoods and online services,1,"Law on Control over Export of Dual-Use Goods, Arms, and Military Equipment 2009","Armenia has no export licensing regime and does not impose blanket export restrictions on ICT goods and online services. However, certain restrictions apply based on national security, dual-use technologies, and compliance with international sanctions or export control regimes. These regulations primarily focus on dual-use goods (items that can be used for both civilian and military purposes), encryption technologies, and sensitive technologies that may affect national security. Article 9 (Basics of export of the controlled items and transmission of the
controlled intangible values) prescribes that export of the controlled items and transmission of the controlled intangible values is carried out in line with procedures. A person shall obtain a permission issued in line with procedures set forth in the current law.

",Since April 2009,https://www.vertic.org/media/National%20Legislation/Armenia/AM_Law_export_dual_use.pdf,,,,
11,11.1,Lack of transparent technical standards,0,Law on Standardization 1999,"Since 1999, this law governs the standardization of products and services in Armenia. ICT products must comply with national standards, which are typically aligned with international norms.

Article 5 highlights the principles guiding standardization, including transparency, openness, and consensus. It encourages the participation of all interested parties in the development of standards, without explicitly excluding foreign participants.

Article 7 establishes the National Institute of Standards as the authorized body responsible for standardization activities. It outlines the institute's functions, such as developing, approving, and disseminating standards, and coordinating with international standardization organizations. The article does not specify restrictions on foreign involvement in these processes.

","Since March 1999, last amended in May 2012",http://www.parliament.am/law_docs/031299HO18eng.pdf?lang=eng,https://www.wto.org/english/thewto_e/acc_e/arm_e/wtaccarm14_leg_3.pdf,,,"0,150"
11,11.2,"Self-certification limitations for product safety (radio transmissions, EMC/EMI)",0.50,Law on Technical Regulation No.ZR-19 2012,"Law on Technical Regulation 2012 governs the certification and compliance of products with Armenian technical standards, including those related to radio transmissions and EMC/EMI. It requires that products that could pose a risk to public safety, national security, or the environment must undergo mandatory certification rather than relying solely on self-certification.

Article 8 specifies the need for products to meet national standards before being marketed in Armenia. It outlines the conditions under which products must be certified by authorized bodies, especially for categories where safety concerns are present, such as electronic devices emitting radio signals. SDoC can be used when regulations allow manufacturers or suppliers to declare that their products meet the specified standards without external verification.

Third-party certification may be required in cases where independent verification is necessary, particularly for higher-risk products or those affecting public health and safety.","Since February 2012, last amended in March 2017",https://cis-legislation.com/document.fwx?rgn=162217,,,,
11,11.2,"Self-certification limitations for product safety (radio transmissions, EMC/EMI)",0,Eurasian Economic Union Treaty,"Section X (Technical Regulation) of the Eurasian Economic Union Treaty establishes the uniform technical standards, including the unity of the rules and methods of research (tests) and measurements during the mandatory conformity assessment procedures (Article 51(6)). Supplier’s Declaration of Conformity (SDoC) and related conformity assessment results including testing reports from one EAEU Member State must be recognized and accepted by all other Member States. 

Article 53(2) (Circulation of Products and Technical Regulations of the EAEU) of the Treaty stipulates that products that are subject to the enforced technical regulation of the EAEU can be put into the circulation at the territory of the EAEU, provided that it has passed the necessary conformity assessment procedures established under the technical regulation of the EAEU. Member States shall ensure circulation of products conforming to the requirements of the technical regulation of the EAEU on its territory without application of additional with regard to the technical regulation of the EAEU requirements to such products and without additional conformity assessment procedures.

Annex 9 to the Treaty ""Protocol on Technical Regulation within the Eurasian Economic EAEU"" prescribes that Conformity assessment of objects of technical regulating established in the technical regulation of the EAEU shall be made in form of registration (state registration), testing, confirmation of compliance, expertise and (or) in any other form. Mandatory conformity assessment is carried out in the form of declaration of conformity and certification. (Clause 5). Specifically, “Certificate of compliance with technical regulations of the EAEU” means the document by which the authority for certification certifies compliance of the products released for circulation with requirements of technical regulation of the EAEU (technical regulations of the EAEU). ",Since Janury 2015,https://www.wto.org/english/thewto_e/acc_e/kaz_e/wtacckaz85_leg_1.pdf,,,,
11,11.3,Product screening and testing requirements,0.50,Law on Technical Regulation No.ZR-19 2012,"Law on Technical Regulation 2012 governs the technical regulation and standardization of products in Armenia. It outlines the process for ensuring that products comply with safety standards and the relevant technical requirements.

Article 8 of this law stipulates that products that may pose a risk to public safety, national security, or health must undergo mandatory screening and certification. Products like telecommunications equipment, electronic devices, and certain medical devices fall under this category.

Article 12 of this law allows for products to undergo conformity assessments and certification based on test results provided by accredited third-party laboratories. These results must be in accordance with the technical standards set by the law or relevant EAEU technical regulations.
","Since February 2012, last amended in March 2017",https://cis-legislation.com/document.fwx?rgn=162217,,,,
11,11.4,"Deviation from international encryption standards (ISO, IEC, ITU, FIPS, AES, TDES, and ECC)",0,Advanced Encryption Standard (AES),"The Advanced Encryption Standard (AES) is a widely adopted symmetric encryption algorithm used globally to secure electronic data. In Armenia, AES is implemented across various sectors to ensure data confidentiality and integrity.

Armenian government agencies and military institutions utilize AES to protect sensitive information. For instance, in July 2023, the Armenian company Zangi developed ""ArtsakhX,"" a secure messaging application for Nagorno Karabakh. This application employs NATO-approved military-grade end-to-end AES-GSM-256 encryption to safeguard communications, even in scenarios involving internet disruptions or cyberattacks. 

Armenian financial institutions, including banks and payment processors, implement AES encryption to secure transactions and customer data. This practice aligns with international standards, ensuring that financial data remains protected from unauthorized access.

Telecommunications companies and internet service providers in Armenia incorporate AES encryption within their infrastructure to secure data transmission. This includes the use of AES in Virtual Private Networks (VPNs) to protect user privacy and data integrity. For example, VPN services recommended for use in Armenia, such as NordVPN and ExpressVPN, utilize AES-256 encryption to ensure secure connections. 

Armenia's legal framework supports the use of strong encryption standards like AES. According to a 2000 report by the Electronic Privacy Information Center and the Global Internet Liberty Campaign, Armenia was categorized as having minimal to some restrictions on the import of cryptography, indicating a relatively open stance toward encryption technologies. 

AES encryption is integral to Armenia's efforts to protect sensitive information across various sectors, including government, finance, and telecommunications. The country's legal environment supports the use of robust encryption standards, facilitating the secure handling of electronic data. 

Note that there is no official source, nor is there any law/measure/policy that would require the use of AES.",Since 2001,https://nvlpubs.nist.gov/nistpubs/ir/2021/NIST.IR.8319.pdf,,,,
12,12.01,Foreign equity limits in e-commerce sector,0,Law on Foreign Investments 1994,"This law provides the legal framework for foreign investments in Armenia, including the right to full foreign ownership in most sectors. The law guarantees foreign investors the same rights as local investors, allowing them to invest without restrictions in sectors like e-commerce, unless explicitly restricted by law.

Article 5 guarantees foreign investors the right to establish companies with 100% foreign ownership in Armenia, with no explicit foreign equity limitations in the e-commerce sector.","Since July 1994, last amended in October 2006",https://www.mfa.am/filemanager/Statics/36_en.pdf,,,,"0,120"
12,12.2,"Online purchases and delivery limitations
Exception: Not score limitations on online purchases and delivery applied specifically to products related to consumer protection, notably restrictions on alcoholic beverages, tobacco, and pharmaceuticals.",0,Decision No.107 of the Council of the Eurasian Economic Commission,"The duty-free thresholds for importing goods into Armenia are established by the Eurasian Economic Union (EAEU) regulations, specifically the ""Decision No. 107 of the Council of the Eurasian Economic Commission"" dated December 20, 2017. This decision sets the value and weight limits for goods imported for personal use without paying customs duties and taxes. According to this decision, the duty-free threshold for goods imported via international postal deliveries is up to €200 and 31 kg. For goods imported by land, the threshold is up to €500 and 25 kg. These thresholds are subject to periodic revisions by the EAEU.",Since December 2017,https://cis-legislation.com/document.fwx?rgn=142261,,,,
12,12.3,"Licensing scheme for e-commerce providers (B2B and B2C)
Exception: Licenses pertiaining to other aspects of e-commerce businesses, such as license to operate online payment services and delivery are not captured. ",0,Law on Licnesing 2001,"No Licensing scheme for e-commerce providers (B2B and B2C) due to lack of dedicated laws or regulations that would govern the e-commerce sector.

Article 4 is designed to protect consumer rights, ensure public health and security, and support market regulation, which are all relevant to e-commerce. This could apply if e-commerce activities involve areas like consumer data, product quality, or public safety​.

Article 5 emphasizes consumer rights protection, quality of services, and the regulation of high-risk activities. If an e-commerce provider offers products or services that might impact consumer rights or public interests, they may be subject to certain requirements under this law​.

Article 7 allows legal or natural persons, and individual entrepreneurs, to engage in licensed activities. For an e-commerce business that crosses into activities requiring licenses, this could determine eligibility.

Article 43 provides a detailed list of activities that are subject to licensing, categorized by sectors such as security, trade, healthcare, telecommunications, financial services, and others. Each activity requires specific licensing procedures based on factors like professional qualifications, reporting requirements, and sometimes the need for technical expertise or tenders. E-commerce providers could fall under licensing requirements depending on the type of services they offer.","Since May 2001, last amended in July 2001",http://www.parliament.am/law_docs/270601HO193eng.pdf?lang=eng,,,,
12,12.4,"Restrictions on online payment 
",0,Law on Payment and Settlement Systems and Payment and Settlement Organizations 2004,"Armenia's Law on Payment and Settlement Systems and Payment and Settlement Organizations, adopted on November 24, 2004, does not explicitly mandate that e-commerce providers or consumers use local bank accounts for transactions. The law primarily focuses on regulating payment and settlement systems within Armenia, ensuring their stability and proper functioning.

","Since November 2004, last amended in June 2022",https://www.arlis.am/DocumentView.aspx?docid=184274,http://www.parliament.am/law_docs/211204HO150eng.pdf,,,
12,12.4,"Restrictions on online payment 
",0,Law on Currency Regulation and Currency Control 2004,"Law on Currency Regulation and Currency Control (April 2004, amended in 30 December 2020) governs the currency regulation in Armenia and ensures that the use of foreign currencies in transactions complies with local regulations. Specifically, Article 4 (Performance of current currency, capital movement and financial currency transactions) prescribes that no restriction shall be applied to current currency transactions. Residents shall perform currency transactions outside Armenia without limitations,
in accordance with the law of foreign countries. 

Moreover, Article 7 (Performance of transactions in foreign currency in Armenia) Residents and non-residents have a right to purchase/sell foreign currency without limitations on immediate or inferred payment terms, assuming a right or an obligation to repurchase or convert to other currency at a certain price in a certain period or on any other terms.","Since April 2004, last amended in December 2020",http://www.parliament.am/law_docs/211204HO135eng.pdf?lang=eng,,,,
12,12.4,"Restrictions on online payment 
",0,Law on Payment and Settlement Systems and Payment and Settlement Organizations 2004,"Armenia's Law on Payment and Settlement Systems and Payment and Settlement Organizations, adopted on November 24, 2004, outlines the regulatory framework for payment systems and mandates compliance with security measures to protect financial transactions.

Article 5 stipulates that payment and settlement systems must obtain authorization from the Central Bank of Armenia, which includes meeting specific technical and security requirements.

Article 6 details the necessary conditions for payment and settlement systems, emphasizing the importance of adhering to established security protocols to ensure the integrity and confidentiality of transactions.","Since November 2004, last amended in June 2022",https://www.arlis.am/DocumentView.aspx?docid=184274,http://www.parliament.am/law_docs/211204HO150eng.pdf,,,
12,12.4,"Restrictions on online payment 
",1,Law on Payment and Settlement Systems and Payment and Settlement Organizations 2004,"Article 19 of the Law on Payment and Settlement Systems (2004) requires any entity offering payment services, a payment and settlement organization (PSO) in Armenia, to be licensed by the Central Bank of Armenia to render payment and settlement services (money remittances, and processing and clearing of payment instruments).Money remittance PSOs can conduct foreign exchange trading and postal services if licensed. The requirements to obtain a license are available under Article 20. ","Since November 2004, last amended in June 2022",https://www.arlis.am/DocumentView.aspx?docid=184274,http://www.parliament.am/law_docs/211204HO150eng.pdf,,,
12,12.4,"Restrictions on online payment 
",0,Law on Payment and Settlement Systems and Payment and Settlement Organizations 2004,"Armenia's Law on Payment and Settlement Systems and Payment and Settlement Organizations does not specify a maximum limit for online transaction amounts between e-commerce providers and consumers. However, it establishes the legal framework for payment systems and organizations, ensuring the security and efficiency of payment transactions.

Article 5 stipulates that payment and settlement systems must obtain authorization from the Central Bank of Armenia, which includes meeting specific technical and security requirements.

Article 6 details the necessary conditions for payment and settlement systems, emphasizing the importance of adhering to established security protocols to ensure the integrity and confidentiality of transactions.

While the law does not impose specific transaction amount limits, it provides a comprehensive framework to regulate and oversee payment systems, ensuring their stability and proper functioning.","Since November 2004, last amended in June 2022",https://www.arlis.am/DocumentView.aspx?docid=184274,http://www.parliament.am/law_docs/211204HO150eng.pdf,,,
12,12.4,"Restrictions on online payment 
",0,Law on Payment and Settlement Systems and Payment and Settlement Organizations 2004,"Article 5 stipulates that payment and settlement systems must obtain authorization from the Central Bank of Armenia, ensuring they meet specific technical and security requirements.

Article 6 details the necessary conditions for payment and settlement systems, emphasizing the importance of adhering to established security protocols to ensure the integrity and confidentiality of transactions.

While the law provides a framework for the operation of payment systems, it does not prescribe the use of specific intermediaries, allowing e-commerce providers and consumers the flexibility to choose their preferred payment service providers.","Since November 2004, last amended in June 2022",https://www.arlis.am/DocumentView.aspx?docid=184274,http://www.parliament.am/law_docs/211204HO150eng.pdf,,,
12,12.4,"Restrictions on online payment 
",0,Law on Payment and Settlement Systems and Payment and Settlement Organizations 2004,No other online payment limitations.,"Since November 2004, last amended in June 2022",https://www.arlis.am/DocumentView.aspx?docid=184274,http://www.parliament.am/law_docs/211204HO150eng.pdf,,,
12,12.5,Low De Minimis,0,Law on Customs Regulation 2014,"The Customs Code of the Republic of Armenia specifies de minimis thresholds for customs duties on goods imported via international postal or courier deliveries in Article 249 (Transportation of goods via international postal deliveries and transportation of goods for personal use by natural persons). This Article outlines the following de minimis rates:

0% customs duty if the total weight of goods imported within a month does not exceed 30 kilograms and their customs value is below AMD 200,000.
22.5% rate if the total weight remains under 30 kilograms but the customs value is between AMD 200,000 and an amount equivalent to 1,000 Euros.
30% rate, or the minimum rate as specified by international treaties, if the goods exceed the weight limit of 30 kilograms or the customs value exceeds 1,000 Euros​","Since December 2014, amended in June 2022",https://www.translation-centre.am/pdf/Trans_ru/HH_Orenq/Law_Maksain_Karg/HO-241-N_280916_en.pdf,,,,
