Chapter,Question,Question: description,Individual Indicator Score,Source Legislation,Impact,Timeframe for Indicator,References,"References, 2","References, 3","References, 4",Overall Pillar Score
4,4.1,Patent application issues,0,Patents Act No.2 of 2003 ,"Part 4 of the Act prescribes the application for patents and Part 5 prescribes procedure for granting patent. A person shall filling an application with the Registrar of Patents (Section 12). If the Registrar determines the application does not comply with this Act, the Registrar must inform the applicant and ask to amend the application (Section 16). There is no restrictions related to the application process for patents.","Assented July 2003, commencement February 2011",https://wipolex.wipo.int/en/text/475502,,,,5.6000000000000001E-2
4,4.2,"Patent enforcement issues: civil and administrative procedures and remedies, provisional and other measures",0,Patents Act No.2 2003 ,"Patent enforcement involves both civil and administrative procedures. The patent owner can initiate court proceedings for any alleged infringement (Section 42.1), including an injunction restraining the defendant from any alleged act of infringement (Section 42.2a). Administratively, the Registrar manages the submission, examination, and publication of patent applications, resolves disputes between applicants (Section 21), and has the authority to revoke patents on specific grounds (Section 39). Remedies include injunctions, damages, destruction of infringing products, and declarations of validity and infringement.","Assented July 2003, commencement February 2011",http://www.paclii.org/cgi-bin/sinodisp/vu/legis/num_act/pa2003109/pa2003109.html?stem=&synonyms=&query=patent,,,,
4,4.2,"Patent enforcement issues: civil and administrative procedures and remedies, provisional and other measures",0,Patents Act No.2 of 2003,"According to Part 11 of the Act, patent infringement and proceedings are regulated. If a person infringes a patent invention, the owner of a patent may bring proceedings in court for any act alleged to infringe the patent (Section 41). The remedies cover an injunction, damages for the infringement, an account of the profits derived by the defendant from infringement, etc. (Section 42).

There is no restriction or report related to the enforcement of patents.","Assented July 2003, commencement February 2011",https://wipolex.wipo.int/en/text/475502,,,,
4,4.3,Not in the WIPO Copyright Treaty (WCT),1,Lack of participation in Patent Cooperation Treaty,Vanuatu is not a Patent Cooperation Treaty contracting State.,Last review in October 2024,https://www.wipo.int/pct/en/pct_contracting_states.html,,,,
4,4.4,Lack of copyright framework and exceptions,0,Copyright and Related Rights Act No. 42 of 2000,"Under the Copyright and Related Rights Act of 2000, Part 3 Acts Not Constituting Infringement of Copyright in Works, certain acts are not considered an infringement of copyright. The exceptions include fair dealing for purposes of research or private study, legal advise, criticism or review (Sections 10 -18). 

In particular, certain acts that not considered as an infringement are:
1. Private reproduction for personal purposes
2. Temporary reproduction
3. Quotation
4. Reproduction for educational or legal purposes
5. Reproduction by libraries and archives
6. Reproduction, broadcasting and other communication to the public for information purposes
7. Reproduction and adaptation of computer programs
8. Importation for personal purposes
9. Display of works","Assented December 2000, commencement February 2011, last amended in November 2021",https://www.wto.org/english/thewto_e/acc_e/vut_e/WTACCVUT14_LEG_28.pdf,http://www.paclii.org/vu/legis/num_act/carra2021362.pdf,,,
4,4.5,Online copyright enforcement issues: civil and administrative procedures and remedies; and provisional measures,0,Copyright and Related Rights Act No. 42 of 2000,"Under Part 6 enforcement of rights and protection requirements, the Supreme Court has jurisdiction in respect of civil and criminal matters arising under the Copyright Act (Sections 34 and 35). A person who intentionally and for profit making purposes infringes a right protected under this Act is guilty of an offence punishable on conviction by a fine not exceeding 2,000,000 Vatu or imprisonment for not more than 2 years, or both (Section 35.2). The Court is also authorized to grant injunctions to prohibit the infringement. There have not been recent complaints related to online piracy. ","Assented December 2000, commencement February 2011, last amended in November 2021",https://www.wto.org/english/thewto_e/acc_e/vut_e/WTACCVUT14_LEG_28.pdf,http://www.paclii.org/vu/legis/num_act/carra2021362.pdf,,,
4,4.6,Not in the WIPO Copyright Treaty (WCT),0,Signature of the WIPO Copyright Treaty,Accession to the WIPO Copyright Treaty since 2020,Since May 2020,https://wipolex.wipo.int/en/treaties/ShowResults?search_what=C&treaty_id=16,,,,
4,4.7,Not in the WIPO Performances and Phonographs Treaty (WPPT),0,Signature of the WIPO Performances and Phonograms Treaty,Accession to the WIPO Performances and Phonograms Treaty since 2020,Since May 2020,https://wipolex.wipo.int/en/treaties/ShowResults?search_what=C&treaty_id=20,,,,
4,4.8,"Mandatory disclosure of trade secrets, such as source code and algorithms",0,"Trade Secrets Act of 2000 No.52 of 2000 
","A person who is the owner of a trade secret has the right to that secret remaining undisclosed (Section 2). 

If a trade secret is acquired, used or disclosed by a person without the authority of the owner of the trade secret, the owner has the right to apply to the Supreme Court for a declaration that the trade secret has been acquired, used or disclosed without authority (Section 3). The Supreme Court may grant an injunction and award damages to the owner. 

","Assented December 2000, commencement February 2011",https://www.wto.org/english/thewto_e/acc_e/vut_e/WTACCVUT14_LEG_30.pdf,,,,
4,4.9,Lack of effective trade secrets legal framework,0,"Trade Secrets Act of 2000 No.52 of 2000 
","The Trade Secrets Act defines a trade secret as any information that is (Section 1):
(a) not generally known among, or readily accessible to, persons who
normally deal with information of that kind; or
(b) about a person’s business or professional affairs and disclosure would, or could reasonably be expected to, unreasonably affect that person adversely in respect of his or her lawful business or professional affairs;  and that has commercial value because of this. 

If a trade secret is acquired, used or disclosed by a person without the authority of the owner of the trade secret, the owner has the right to apply to the Supreme Court for a declaration that the trade secret has been acquired, used or disclosed without authority.  The Court may: grant an injunction preventing anyone from dealing with, or otherwise using, the secret in a commercial way; and if it is satisfied that the owner has suffered damage because of the unauthorised disclosure—award damages to the owner (Section 3).","Assented December 2000, commencement February 2011",https://www.wto.org/english/thewto_e/acc_e/vut_e/wtaccvut14_leg_30.pdf,,,,
5,5.1,Absence of passive infrastructure sharing,0.50,Telecommunications and Radiocommunications Regulation Act No. 30 of 2009,"Passive infrastructure sharing is not mandated. 
However, on the Island of Akam, South Malekula, TRBR was entrusted with the task of enhancing mobile coverage on the area of Akam Island and its adjacent mainland area. In collaboration with the Office of the Government Chief Information Officer (OGCIO), TRBR has decided to initiate a pilot project centered around 'Shared Infrastructure' to optimize resources to deliver services to the consumers. This approach entails that the Government will assume ownership of the tower, which will then be leased by the Telcos for using the tower and power.

The Universal Access and infrastructure sharing report 2024 is due to come out soon, and will have further information as to how infrastucture sharing is conducted.
","Since November 2009, last amended in 2018",https://www.trbr.vu/about-us/legislative-framework/195-telecommunications-and-radiocommunications-regulation-act-no-30-of-2009,https://www.trbr.vu/attachments/article/914/report_14_uap_public_report.pdf,,,0.147
5,5.2,Foreign equity limits in telecom sector,0,"Vanuatu Foreign Investment Act No. 25 of 2019 [CAP 248];

Telecommunications and Radiocommunications Regulation Act No. 30 of 2009","There are no foreign investment equity restrictions in telecommunications sector (Section 16). Foreign investment is open for most activities other than those on the ""Prohibited, Reserved, and Restricted"" lists (please see the schedule parts 1,2,3). ","Assented December 2019, commencement January 2020;

Since November 2009, last amended in 2018","https://tradeportal.gov.vu/media/Foreign%20Investment%20Act%20No%20%2025%20of%202019%20(2).pdf
",https://www.trbr.vu/attachments/article/195/Telecommunications_and_Radiocommunications_Regulation_Act_2009.pdf,,,
5,5.3,Shares owned by the Government in telecom companies,0,Telecommunications and Radiocommunications Regulation Act No. 30 of 2009,"Telecom Vanuatu Limited (TVL) was the national incumbent until deregulation in 2007. The dominant telecom players in Vanuatu are TVL and Digicel, both are foreign invested companies. ","Since November 2009, last amended in 2018",https://www.trbr.vu/attachments/article/195/Telecommunications_and_Radiocommunications_Regulation_Act_2009.pdf,,,,
5,5.4,Lack of functional/accounting separation,0.50,"Telecommunications Act [Cap 206] 2009;

Telecommunications and Radiocommunications Regulation Act No. 30 of 2009","The Telecommunications and Radiocommunications Regulation Act No. 30 of 2009 indicates the designation of dominant telecom service providers. Moreover, from the Telecommunications Act [Cap 206], every operator shall prepare a report giving a true and fair account of its activities, and of its income and expenditure during the year together with an audited statements of accounts for that financial year and shall forward such account to the Minister (Section 23 (1)). ","Since June 1989;

Since November 2009, last amended in 2018",https://wipolex-res.wipo.int/edocs/lexdocs/laws/en/vu/vu015en.pdf,https://www.trbr.vu/attachments/article/195/Telecommunications_and_Radiocommunications_Regulation_Act_2009.pdf,https://www.trbr.vu/attachments/article/724/trbr_act_no_of_2018.pdf,,
5,5.5,Licensing requirements in telecom sector for operators,0,"Telecommunications Act [Cap 206] 2009;

Telecommunications and Radiocommunications Regulation Act No. 30 of 2009","Section 16 of the provides that no person can run telecommunication system in Vanuatu without licence. This provision includes Point-to-Point leased circuits (International & Local, Global IP Transit, Satellite Transit & Business resilience circuits, and customized virtual PBX solutions). The telecommunications licensing procedures and criteria's are clearly provided (See sections 12-16 of the Act). Specifically, the licence process will take approximately 14 working days for the telecom regulator to process the application.
","Since June 1989;

Since November 2009, last amended in 2018",https://wipolex-res.wipo.int/edocs/lexdocs/laws/en/vu/vu015en.pdf,https://www.trbr.vu/attachments/article/195/Telecommunications_and_Radiocommunications_Regulation_Act_2009.pdf,https://www.trbr.vu/attachments/article/724/trbr_act_no_of_2018.pdf,https://www.trbr.vu/attachments/category/129/telecommunications_licensing_procedures_2020.pdf	,
5,5.6,Not in the WTO Telecom Reference Paper,0,WTO Telecom Reference Paper,Vanuatu has attached the WTO Telecom Reference Paper to its schedule of commitments.,Since 2012,https://docs.wto.org/dol2fe/Pages/FE_Search/FE_S_S009-DP.aspx?language=E&CatalogueIdList=94617&CurrentCatalogueIdIndex=0&FullTextHash=&HasEnglishRecord=True&HasFrenchRecord=True&HasSpanishRecord=True,https://www.wto.org/english/tratop_e/serv_e/telecom_e/telecom_highlights_commit_exempt_e.htm#country,,,
5,5.7,Lack of independent telecom authority,0,"Telecommunications Act [Cap 206] 2009;

Telecommunications and Radiocommunications Regulation Act No. 30 of 2009",Vanuatu has an independent telecommunications authority. Act No. 30 established the Telecommunications and Radiocommunications Regulator (Section 4). The 2018 amendment extends the regulator power to regulate matters related to broadcasting within Vanuatu. ,"Since June 1989;

Since November 2009, last amended in 2018","https://wipolex-res.wipo.int/edocs/lexdocs/laws/en/vu/vu015en.pdf;

http://www.paclii.org/cgi-bin/sinodisp/vu/legis/num_act/ta2009294/ta2009294.html?stem=&synonyms=&query=telecommunications%20act",https://www.trbr.vu/attachments/article/195/Telecommunications_and_Radiocommunications_Regulation_Act_2009.pdf,https://www.trbr.vu/attachments/article/724/trbr_act_no_of_2018.pdf,https://www.trbr.vu/attachments/category/129/telecommunications_licensing_procedures_2020.pdf	,
6,6.1,"Ban and local processing requirements
Exception: Not score data localization measure applied to government data.",0,"Electronic Transaction Act No.24 of 2000;

Cybercrime Act No.22 of 2021;

Telecommunications and Radiocommunications Regulation Act No. 30 of 2009","There is no requirement on ban to transfer. Under the Electronic Transaction Act, a local processing requirement may be mandated. The Minister may make orders prescribing standards for the processing of personal data, whether or not the personal data originates inside Vanuatu (Section 25). However, the standards have not been implemented yet. ","Since November 2000;

Assented July 2021
Commencement September 2021;

Since November 2009 last amended in 2018",https://www.vfsc.vu/wp-content/uploads/2015/12/Electronic-Transactions-Act-No.-24-of-2000.pdf ,https://ogcio.gov.vu/index.php/en/policy-legislation/legislation,https://www.trbr.vu/en/about-us/legislative-framework/195-telecommunications-and-radiocommunications-regulation-act-no-30-of-2009,,7.6999999999999999E-2
6,6.2,"Local storage requirements
Exception: Not score data localization measure applied to government data.",0,"Electronic Transaction Act No.24 of 2000;

Cybercrime Act No.22 of 2021;

Telecommunications and Radiocommunications Regulation Act No. 30 of 2009",There is no requirement to store data locally,"Since November 2000;

Assented July 2021,
commencement September 2021;

Since November 2009, last amended in 2018",https://www.vfsc.vu/wp-content/uploads/2015/12/Electronic-Transactions-Act-No.-24-of-2000.pdf ,https://ogcio.gov.vu/index.php/en/policy-legislation/legislation,https://www.trbr.vu/en/about-us/legislative-framework/195-telecommunications-and-radiocommunications-regulation-act-no-30-of-2009,,
6,6.3,"Infrastructure requirements
Exception: Not score data localization measure applied to government data.",0,"Electronic Transaction Act No.24 of 2000;

Cybercrime Act No.22 of 2021;

Telecommunications and Radiocommunications Regulation Act No. 30 of 2009",There is no infrastructure requirement implemented. ,"Since November 2000;

Assented July 2021,
commencement September 2021;

Since November 2009, last amended in 2018",https://www.vfsc.vu/wp-content/uploads/2015/12/Electronic-Transactions-Act-No.-24-of-2000.pdf ,https://ogcio.gov.vu/index.php/en/policy-legislation/legislation,https://www.trbr.vu/en/about-us/legislative-framework/195-telecommunications-and-radiocommunications-regulation-act-no-30-of-2009,,
6,6.4,"Conditional flow regimes
Exception: Not score data localization measure applied to government data.",0,"Electronic Transaction Act No.24 of 2000;

Cybercrime Act No.22 of 2021;

Telecommunications and Radiocommunications Regulation Act No. 30 of 2009",There is no conditional flow regime implemented. ,"Since November 2000;

Assented July 2021,
commencement September 2021;

Since November 2009, last amended in 2018",https://www.vfsc.vu/wp-content/uploads/2015/12/Electronic-Transactions-Act-No.-24-of-2000.pdf ,https://ogcio.gov.vu/index.php/en/policy-legislation/legislation,https://www.trbr.vu/en/about-us/legislative-framework/195-telecommunications-and-radiocommunications-regulation-act-no-30-of-2009,,
6,6.5,Not in an agreement with binding commitments on data transfer.,1,Lack of participation in agreements with binding commitments on data flows,"Vanuatu has not joined any agreement with binding commitments to open transfers of data across borders.
",Last reviewed in October 2024,https://vanuatucustoms.gov.vu/index.php/customs/customs-revenue/free-trade-agreements,,,,
7,7.1,Lack of comprehensive legal framework for data protection,0.50,"Electronic Transaction Act No.24 of 2000;

Cybercrime Act No.22 of 2021;

Telecommunications and Radiocommunications Regulation Act No. 30 of 2009","Comprehensive data protection laws are currently before parliament. Data protection laws can be found in sectoral laws, such as the Electronic Transaction Act (Section 25), the Cybercrime Act, and Telecommunications and Radiocommunications Regulation Act (Section 40). 

Specifically, the Telecommunications Act provides that a service provider must not, without the consent of the end user, divulge any personal end user information to any other person who is not an agent or employee of the service provider, unless required by law or authorised by warrant or by the Regulator (Section 40(1)). A service provider must not, without the consent of the end user, collect any personal end user information not reasonably necessary for the provision of any telecommunications service to the end user, unless required by law or authorised by warrant or by the Regulator (Section 40(2)). 
","Since November 2000;

Assented July 2021,
commencement September 2021;

Since November 2009, last amended in 2018",https://www.vfsc.vu/wp-content/uploads/2015/12/Electronic-Transactions-Act-No.-24-of-2000.pdf ,https://ogcio.gov.vu/index.php/en/policy-legislation/legislation,https://www.trbr.vu/en/about-us/legislative-framework/195-telecommunications-and-radiocommunications-regulation-act-no-30-of-2009,,0.344
7,7.2,"Minimum period of data retention requirements
Exception: Not score requirement applied to government data.",0,"Electronic Transaction Act No.24 of 2000;

Cybercrime Act No.22 of 2021;

Telecommunications and Radiocommunications Regulation Act No. 30 of 2009","There is no minimum period of data retention requirement implemented. 
","Since November 2000;

Assented July 2021, commencement September 2021;

Since November 2009, last amended in 2018",https://www.vfsc.vu/wp-content/uploads/2015/12/Electronic-Transactions-Act-No.-24-of-2000.pdf ,https://ogcio.gov.vu/index.php/en/policy-legislation/legislation,https://www.trbr.vu/en/about-us/legislative-framework/195-telecommunications-and-radiocommunications-regulation-act-no-30-of-2009,,
7,7.3,Data Protection Impact Assessment (DPIA) or Data Protection Officer (DPO) requirements,0.50,E-Business Act [Cap 264] of 2000,"According to Part 4, Section 15(2) of the E-Business Act, companies carrying any electronic business must appoint a data protection officer who is responsible for ensuring the company complies with such approved codes of conduct or standards.","Since September 2000, last amended in January 2018",https://www.wipo.int/edocs/lexdocs/laws/en/vu/vu020en.pdf ,http://www.paclii.org/cgi-bin/sinodisp/vu/legis/num_act/ea2017205,,,
7,7.4,Requirements to allow government access to personal data,1,Cybercrime Act No.22 of 2021,"A service provider who receives an order from the Supreme Court relating to a criminal investigation shall disclose the information (Section 15, Disclosure of information of an investigation). The Commissioner of Police must apply to the Court to grant an interception warrant, the renewal of such warrant, or an urgent interception warrant (Sections 27 and 28).

However, the Commissioner of Police is authorized to request a service provider in writing to disclosure subscriber data, or traffic data,  if the disclosure is necessary for law enforcement purposes or a foreign serious offence. A service provider must comply as soon as practical after receiving the request unless shall committed to offence and liable to fine (Sections 21 and 22). Moreover, the Commissioner can request a service provider in writing to access to traffic data in real time for up to 90 days for the enforcement of punishable offence or foreign serious offence (Section 23).","Assented July 2021, commencement September 2021",https://ogcio.gov.vu/images/Docs/legislation/Cybercrime_Act_n_of_2021.pdf,,,,
8,8.1,Lack of safe harbour for copyright infringements,0.50,Electronic Transactions Act No.24 of 2000 ,"Intermediaries and e-commerce service providers are not civilly or criminally liable for the content of a message if the intermediary was not the creator of the message, and: (1) the intermediary did not know that dissemination of the message would be grounds for liability; or (2) the intermediary did not know any related facts or circumstances which would have made it reasonable to suspect there was liability; or if the intermediary has complied with Article 27 of the Electronic Transactions Act procedure if the intermediary has become aware of the existence of a civil or criminal penalty, or became aware of facts or circumstances which should have led the intermediary to conclude there was a reasonable likelihood of liability.

Specifically, under this Act, ""e-commerce service provider"" means a person who uses electronic means in providing goods, services or information, and ""intermediary"", in relation to an electronic record, means a person who, on behalf of another person, sends, receives or stores that electronic record or provides other services with respect to that electronic record.","Assented September 2000, commencement November 2000",https://www.vfsc.vu/wp-content/uploads/2015/12/Electronic-Transactions-Act-No.-24-of-2000.pdf ,,,,0.375
8,8.2,Export restrictions on ICTgoods and online services,0.50,Electronic Transactions Act No.24 of 2000 ,"Intermediaries and e-commerce service providers are not civilly or criminally liable for the content of a message if the intermediary was not the creator of the message, and: (1) the intermediary did not know that dissemination of the message would be grounds for liability; or (2) the intermediary did not know any related facts or circumstances which would have made it reasonable to suspect there was liability; or if the intermediary has complied with Article 27 of the Electronic Transactions Act procedure if the intermediary has become aware of the existence of a civil or criminal penalty, or became aware of facts or circumstances which should have led the intermediary to conclude there was a reasonable likelihood of liability.

Specifically, under this Act, ""e-commerce service provider"" means a person who uses electronic means in providing goods, services or information, and ""intermediary"", in relation to an electronic record, means a person who, on behalf of another person, sends, receives or stores that electronic record or provides other services with respect to that electronic record.","Assented September 2000, commencement November 2000",https://www.vfsc.vu/wp-content/uploads/2015/12/Electronic-Transactions-Act-No.-24-of-2000.pdf ,,,,
8,8.3,User identify requirements,0.50,SIM Card Registration Regulation Order No.105 of 2022,"All SIM Card users, and for the control, administration and management of the subscriber information database are subjected to registration (Part 3, Section 7). 

The SIM card shall be assigned to valid national identification ID (Section 10). A non-resident must register his or her roaming SIM card with subscriber information using a valid passport or provide local residential address and the contact detail of a local residential address (Section 12). ",Since June 2022,https://www.trbr.vu/attachments/article/876/sim_card_registration_and_regulation.pdf,https://www.trbr.vu/en/public-register/consultations/2020/795-compulsory-sim-registration-consultation,,,
8,8.4,Monitoring requirements,0,Cybercrime Act No.22 of 2021,There is no monitoring requirement implemented. The ISP and ICP do not require to monitor online content.,"Assented July 2021, commencement September 2021",https://ogcio.gov.vu/images/Docs/legislation/Cybercrime_Act_n_of_2021.pdf,,,,
9,9.1,"Blocking or filtering commercial web content
Exception: Not score political content, criminal content (e.g., child pornography), aged-restricted content, defamation and other non-commercial content.",0,"Telecommunications and Radiocommunications Regulation
Act No.30 of 2009",There is not a content blocking approach currently in place in Vanuatu. ,"Since November 2009, last amended in 2018;

Last review in October 2024",https://www.trbr.vu/attachments/article/195/Telecommunications_and_Radiocommunications_Regulation_Act_2009.pdf,"https://www.trbr.vu/attachments/article/700/minutes_of_regulatory_internet_symposium.pdf
",,,0
9,9.2,Internet shutdowns,0,"V-Dem, variable v2smgovshut","The indicator ""6.2.4 - Government Internet shut down in practice"" of the V-Dem Dataset, which measures whether the government has the technical capacity to actively make internet service cease, thus interrupting domestic access to the internet or whether the government has decided to do so, has a score of 3.958 in Vanuatu. This corresponds to ""Never, or almost never. The government does not typically interfere with the domestic access to the Internet"".","Reported in 2023, last review in June 2025",https://www.v-dem.net/vdemds.html,,,,
9,9.3,"Online advertising requirements
Exception: Not score requirements that advertising should not be misleading",0,"Telecommunications and Radiocommunications (Consumer Protection) Regulation
Order No.157 of 2015; 

Telecommunications and Radiocommunications Regulation
Act No.30 of 2009","There is no restrictions on online advertising. An advertisement for a telecommunication service must not state or imply that the service is offered for free, unless the service is entirely and unconditionally for free (Part 6 of the Order 2015). ","Since 2015;

Since November 2009, last amended in 2018",https://www.trbr.vu/attachments/article/541/consumer_protection_regulation_gazette.pdf,https://www.trbr.vu/about-us/legislative-framework/195-telecommunications-and-radiocommunications-regulation-act-no-30-of-2009,,,
9,9.4,"Licensing requirements for online content providers and applications (social media platforms, new providers, VPN, cloud servics, etc.)
Exception: Not cover license for telecommunication facilities and service providers (captured under Pillar 5), License for e-commerce platform (captured under Pillar 12)",0,"Telecommunications and Radiocommunications Regulation
Act No.30 of 2009","Licenses are not required for digital content providers, digital services and applications.","Since November 2009, last amended in 2018

",https://www.trbr.vu/attachments/article/195/Telecommunications_and_Radiocommunications_Regulation_Act_2009.pdf,,,,
10,10.1,"Import ban applied to ICT goods and online services (e.g. network equipment, servers, handsets, applications, and data processing)",0,Customs (Prohibited Import) Regulations Order No. 115 of 2014,"This measure has not an impact on digital goods. Section 2 of the Act provides a list of prohibited goods to be imported into Vanuatu, such as absinthe, beef originating in Europe, copra, obscene material, offensive weapon, ozone depleting substances, and wine with false description.

",Since June 2014,https://customsinlandrevenue.gov.vu/images/Laws_Regulations/Customs_Regulations/CustomsProhibited_Import_Regulations_Order_No.115_of_2014.pdf ,,,,0.208
10,10.2,Other import restrictions on ICT goods and online services,0.50,"Telecommunications and Radiocommunications Regulation
Act No.30 of 2009","A person must not import, offer for sale, sell or use any equipment, including apparatus used in connection with telecommunications and radiocommunications, without a licence (Section 12.3). The criteria and process to obtain a license are clearly specified. 
","Since November 2009, last amended in 2018
",https://www.trbr.vu/attachments/article/195/Telecommunications_and_Radiocommunications_Regulation_Act_2009.pdf,https://www.trbr.vu/en/telecom-industry/licenses/telecommunications-licence,https://www.trbr.vu/attachments/category/129/telecommunications_licensing_procedures_2020.pdf,,
