Chapter,Question,Question: description,Individual Indicator Score,Source Legislation,Impact,Timeframe for Indicator,References,"References, 2","References, 3","References, 4",Overall Pillar Score,
4,4.4,Lack of copyright framework and exceptions,0,"Law No. 6 on Copyright and Related Rights, 1996 (Қазақстан Республикасының 1996 жылғы 10 маусымдағы N 6-I Заңы)","Kazakhstan has a copyright regime under Law of the Republic of Kazakhstan No. 6-I of June 10, 1996, on Copyright and Related Rights. Copyright exception related to fair use and fair dealing provisions can be found in Articles 19, 20 and 41 of the Copyright Law of Kazakhstan. 

The exceptions in Kazakhstan’s copyright framework, outlined in Articles 18-27 of the Law No. 427, offer exceptions for specific purposes. These exceptions include the quotation of copyrighted works, in the original language or in translation, for scientific research, criticism, or informational purposes. The reproduction, broadcasting, or communication to the public of architectural, photographic, or fine art works that are permanently located in public spaces is also permitted without the author’s consent or remuneration, provided it is not for commercial use​.

These provisions indicate that Kazakhstan follows a fair dealing approach. The exceptions are specific and confined to well-defined purposes, such as research, criticism, and private study, limiting flexibility in comparison to the broader fair use doctrine. 

","Since June 1996, last amended in August 2024 ",https://adilet.zan.kz/kaz/docs/Z960000006_,http://adilet.zan.kz/eng/docs/Z960000006_ ,,,,
4,4.5,Online copyright enforcement issues: civil and administrative procedures and remedies; and provisional measures,0,"Law No. 6 on Copyright and Related Rights, 1996 (Қазақстан Республикасының 1996 жылғы 10 маусымдағы N 6-I Заңы)","According to Article 16 of Law No. 427, the reproduction, distribution, or public performance of copyrighted works, including through digital platforms, requires the copyright holder’s permission. Any unauthorized use is deemed an infringement, and sanctions can be applied.

Article 49(1) of the Law provides the mechanism for the protection of copyright through civil remedies. This includes:
- Recognition of the rights;
- Suppression of actions that infringe or threaten to infringe the rights;
- Compensation of damages, including lost profits;
- Recovery of the income received by the infringer;
- Payment of compensation in lieu of damages​

Article 49(2) outlines that the court, before considering the case, may independently issue a decision to prohibit the respondent from manufacturing, reproducing, or selling unauthorized copies of copyrighted works. It also allows for the seizure and confiscation of counterfeit goods related to copyright infringement​.

Article 48 further reinforces the protection of copyright by prohibiting unauthorized removal or alteration of rights management information and the reproduction, distribution, or public performance of works without proper authorization, particularly targeting issues related to piracy​

","Since June 1996, last amended in August 2024 ",https://adilet.zan.kz/kaz/docs/Z960000006_,http://adilet.zan.kz/eng/docs/Z960000006_ ,,,,
4,4.6,Not in the WIPO Copyright Treaty (WCT),0,Signature of the WIPO Copyright Treaty,"Signature of the WIPO Copyright Treaty since February 1997, ratification since August 2004 and entry into force since November 2004","Signed in February 1997, ratified since August 2004, entry into force since November 2004",https://wipolex.wipo.int/en/treaties/ShowResults?search_what=C&treaty_id=16,,,,,
4,4.7,Not in the WIPO Performances and Phonographs Treaty (WPPT),0,Signature of the WIPO Performances and Phonograms Treaty,"Signature of the WIPO Performances and Phonograms Treaty since February 1997, ratification since August 2004 and entry into force since November 2004","Signed in February 1997, ratified since August 2004, entry into force since November 2004",https://wipolex.wipo.int/en/treaties/ShowResults?search_what=C&treaty_id=20,,,,,
4,4.8,"Mandatory disclosure of trade secrets, such as source code and algorithms",0,"Decree of the Supreme Council No.268-ХIII on the Civil Code, 1994 (Қазақстан Республикасының Кодексі 1994 жылғы 27 желтоқсандағы № 268-ХIII)","In Kazakhstan, the mandatory disclosure of trade secrets is addressed under the Civil Code.  Article 126 of the Civil Code defines trade secrets as information that has actual or potential commercial value due to its being unknown to third parties, and it must be protected through measures taken by its holder. Article 1017 ensures that trade secrets, including business processes, algorithms, and proprietary information, are safeguarded against unauthorized disclosure.","Since December 1994, last amended in July 2024 

",https://adilet.zan.kz/kaz/docs/K940001000_,https://adilet.zan.kz/eng/docs/K940001000_,,,,
4,4.9,Lack of effective trade secrets legal framework,0.50,"Decree of the Supreme Council No.268-ХIII on the Civil Code, 1994 (Қазақстан Республикасының Кодексі 1994 жылғы 27 желтоқсандағы № 268-ХIII);

Entrepeneur Code No.375-V LRK, 2015 (Қазақстан Республикасының Кодексі 2015 жылғы 29 қазандағы № 375-V ҚРЗ)","Pursuant to Article 126(1) and Article 1017(1) of the Civil Code of the Republic of Kazakhstan, a trade secret comprises valuable information that includes production secrets (know-how), production technology, management model, as well as ways and methods to increase profits. 

In addition, according to Article 28 (Protection of information constituting a trade secret) of the Enterprise Code of the Republic of Kazakhstan, among other provisions, the protection of trade secrets consists in prohibiting the unlawful receipt, distribution or use of information constituting a trade secret in accordance with this Code and the legislation of the Republic of Kazakhstan. This regulatory framework includes remedies and penalties for the disclosure of trade secrets. ","Since December 1994, last amended in July 2024 ;

Since January 2016, last amended in August 2024",https://adilet.zan.kz/kaz/docs/K940001000_,https://adilet.zan.kz/kaz/docs/K1500000375,https://adilet.zan.kz/eng/docs/K940001000_,https://adilet.zan.kz/eng/docs/K1500000375,,
5,5.1,Absence of passive infrastructure sharing,0,"Law No.567 on Communications, 2004 (Қазақстан Республикасының 2004 жылғы 5 шілдедегі N 567 Заңы) ;

Order  No.119 on approval of the Rules of Interconnection and Interoperability of Telecommunication Networks, 2016 (Қазақстан Республикасы Инвестициялар және даму министрінің м.а 2016 жылғы 28 қаңтардағы № 119 бұйрығы. Қазақстан Республикасының Әділет министрлігінде 2016 жылы 29 ақпанда № 13340 болып тіркелді.) ;

Law No.204-VI on Natural Monopolies, 2018 (Қазақстан Республикасының Заңы 2018 жылғы 27 желтоқсандағы № 204-VІ ҚРЗ.)","Article 31-1 of the Law No. 567 mandates that natural monopoly entities providing services related to the leasing or use of cable ducts must offer these services under regulated conditions. Specifically, it states that such entities must ensure access to their infrastructure as a regulated service. This regulation imposes a mandatory obligation for infrastructure sharing, particularly in the context of passive infrastructure like cable ducts, which lowers the costs for new market entrants and supports equitable access to essential facilities​.

Article 24 of the Order No.119  emphasizes the obligation of dominant telecommunications operators to provide interconnection to their networks. It explicitly states that infrastructure elements such as buildings, poles, and antenna mast structures must be made available on a contractual basis. This provision ensures that key infrastructure is accessible to other operators, thus fostering competition and reducing the costs associated with deploying telecom services, particularly in underserved areas​.


","Since April 2004, last amended in August 2024; 

Since October 2016, last amended in June 2023;

Since December 2018, last amended in September 2024 2021",https://adilet.zan.kz/kaz/docs/Z040000567_,https://adilet.zan.kz/kaz/docs/V1600013340,https://adilet.zan.kz/kaz/docs/Z1800000204,,0.480,
5,5.2,Foreign equity limits in telecom sector,0.80,"Law No.527-IV.on National Security, 2012 (Қазақстан Республикасының 2012 жылғы 6 қаңтардағы № 527-IV Заңы.)","Article 23 of Law No. 204-VI restricts foreign ownership in entities that manage or own communications infrastructure. Specifically, foreigners and foreign legal entities cannot directly or indirectly hold more than 49% of the voting shares in companies providing long-distance or international telecommunication services. Additionally, foreign investors can only exceed this threshold with a positive decision from the government, supported by the relevant authorities responsible for communications and national security​.","Since January 2012, last amended in Decemeber 2023",https://adilet.zan.kz/kaz/docs/Z1200000527,http://adilet.zan.kz/eng/docs/Z1200000527,,,,
5,5.3,Shares owned by the Government in telecom companies,1,Presence of State Owned Enterprise ,"JSC Kazakhtelecom is a majority state-owned company that provides most of Kazakhstan’s communications services, including broadband internet, mobile and television. As of recent reports, the Kazakh government owns 79.24% of Kazakhtelecom, which is divided between direct ownership (28.24%) and indirect ownership through the Sovereign Wealth Fund Samruk-Kazyna (51%). This large government stake means that the government has a controlling interest in the company, exceeding the 50% threshold.

Additionally, Kazakhtelecom also holds a 75% stake in Kcell, another significant telecom operator in Kazakhstan. 

","Since 2013, last reviewed in September 2024",https://telecom.kz/en/pages/11893/172452 ,https://ar2023.telecom.kz/en/equity-capital-structure.html,https://www.kcell.kz/en/about,,,
5,5.4,Lack of functional/accounting separation,0.25,"Law No.567 on Communications, 2004 (Қазақстан Республикасының 2004 жылғы 5 шілдедегі N 567 Заңы) ;

Order No.121 On approval of the Rules for separate accounting of incomes, costs, and assets, used by natural monopolies subjects in the spheres of telecommunications and universal postal services, 2016 (Қазақстан Республикасы Инвестициялар және даму министрінің м.а. 2016 жылғы 28 қаңтардағы № 121 бұйрығы. Қазақстан Республикасының Әділет министрлігінде 2016 жылы 29 ақпанда № 13330 болып тіркелді) ;

Law No.204-VI on Natural Monopolies, 2018 (Қазақстан Республикасының Заңы 2018 жылғы 27 желтоқсандағы № 204-VІ ҚРЗ.)","Functional separation is mandated for operators with significant market power, however accounting separation is not required. Prior to 2017, telecommunication services were considered natural monopoly in the RK, which mandated operators to perform accounting separation. Relevant provisions were repealed as from 01 January 2017. However, the 2016 Rules for separate accounting of incomes, costs, and assets, used by natural monopolies subjects in the spheres of telecommunications and universal postal services continued to be in force until January 2019.  As from January 2019 the Rules have been suspended until 01 January 2020. While the Rules are again in force as from 2020, the only remaining natural monopoly service in the sphere of telecommunications is provision for lease or use of cable ducts (with the exception of the activities of small businesses). All other telecommunication services do not fall within the ambit of vertical separation requirement.

Article 26 of Law No.204-V mentions that natural monopoly entities must maintain separate accounting for regulated services and, in some cases, non-regulated services. 

Accoridng to Article 10 of Chapter 3 of Order No.121, Telecom operators must periodically submit reports detailing their income, costs, and assets for each regulated service to the authorized body, ensuring that accounting separation is enforced.","Since April 2004, last amended in August 2024;

Since January 2016, last amended in June 2021;

Since December 2018, last amended in September 2024 2021",https://adilet.zan.kz/kaz/docs/Z040000567_,https://adilet.zan.kz/kaz/docs/V1600013330,https://adilet.zan.kz/kaz/docs/Z040000567_,,,
